"","Time","ID","Group","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj1_Time1",1,1,0,21,17,21,17,12,13,21,17,18,18,13,13,17,7,14,12,10,16,11,20,16,9,22,19,19,14,15,17,11,18,19,11,11,22,13,15,13,20,18,9,21,13,19,18,13,15,15,13,11,22
"Sbj1_Time2",2,1,0,30,21,21,9,24,18,12,17,9,23,12,11,23,14,26,9,19,14,25,19,29,7,14,24,19,17,14,9,26,15,13,14,19,10,21,9,34,10,18,13,24,28,16,16,19,28,30,8,18,16
"Sbj1_Time3",3,1,0,33,24,21,9,24,10,10,16,6,17,10,10,20,7,23,13,19,15,25,21,27,8,10,24,24,22,15,8,29,15,13,21,9,11,16,12,26,11,19,13,19,26,16,8,18,24,21,9,22,14
"Sbj1_Time4",4,1,0,25,17,16,13,22,13,12,14,12,20,12,13,18,9,25,13,21,7,19,15,32,10,9,21,20,22,13,10,29,15,12,18,19,17,14,7,29,11,23,17,21,28,16,21,13,25,23,10,16,19
"Sbj10_Time1",1,10,0,10,14,16,10,18,21,15,14,16,12,18,19,20,13,18,19,27,10,19,15,7,15,14,15,19,22,14,21,11,15,15,22,15,11,25,20,14,21,12,13,9,16,16,14,25,22,21,11,18,19
"Sbj10_Time2",2,10,0,26,21,26,5,24,15,7,18,8,18,15,11,21,17,22,9,26,9,16,9,23,17,11,28,24,23,9,7,20,16,21,17,10,14,13,23,14,7,21,7,12,19,28,18,2,21,15,12,22,16
"Sbj10_Time3",3,10,0,30,22,27,11,18,11,8,22,11,21,11,10,18,9,18,11,32,15,18,5,22,21,5,30,15,18,9,9,21,18,22,14,12,19,21,17,12,5,23,10,13,23,24,12,9,22,10,12,23,18
"Sbj10_Time4",4,10,0,20,21,28,13,22,13,12,20,14,20,15,12,10,15,26,12,31,10,17,8,26,14,7,26,17,19,7,12,23,14,21,12,11,21,15,16,21,8,19,12,13,27,33,14,13,24,7,12,24,20
"Sbj11_Time1",1,11,0,14,20,13,11,19,21,22,12,18,16,11,12,18,19,13,16,14,9,20,15,5,12,15,15,15,13,9,10,9,8,14,18,15,15,16,19,17,18,12,17,11,11,16,19,16,23,7,8,18,18
"Sbj11_Time2",2,11,0,16,24,25,15,19,22,9,13,9,9,10,7,20,17,23,15,23,16,11,8,25,22,9,29,19,29,11,5,14,21,14,14,13,17,8,16,15,16,15,16,8,16,21,13,19,15,17,8,15,16
"Sbj11_Time3",3,11,0,22,26,19,16,15,18,12,21,9,7,12,12,19,7,23,13,19,19,13,10,22,19,11,19,25,22,10,11,11,20,15,16,8,21,12,13,28,16,14,11,14,20,24,15,19,14,6,8,10,19
"Sbj11_Time4",4,11,0,18,28,22,19,16,22,6,17,12,15,9,14,15,11,25,16,24,11,19,11,23,18,11,22,16,28,11,10,7,15,12,20,11,18,9,23,21,19,21,13,12,14,21,14,21,15,11,7,11,14
"Sbj12_Time1",1,12,0,18,18,14,17,10,22,12,19,15,19,19,20,10,14,7,17,18,17,14,11,10,15,14,18,18,19,9,15,17,14,12,23,14,14,17,20,11,15,15,16,12,18,12,19,20,20,17,14,15,22
"Sbj12_Time2",2,12,0,33,28,26,12,18,16,13,20,8,15,16,9,13,11,23,15,23,22,19,10,34,12,16,25,16,17,14,9,22,23,21,9,11,12,18,9,30,13,18,10,18,26,23,17,10,22,16,10,24,15
"Sbj12_Time3",3,12,0,27,26,28,10,20,9,16,17,9,18,19,13,16,11,19,11,22,20,17,12,32,5,12,23,25,15,17,8,22,20,15,14,12,17,25,14,28,12,19,12,15,32,22,16,5,26,18,6,21,14
