"","Time","ID","Group","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj1_Time1",1,1,0,21,17,21,17,12,13,21,17,18,18,13,13,17,7,14,12,10,16,11,20,16,9,22,19,19,14,15,17,11,18,19,11,11,22,13,15,13,20,18,9,21,13,19,18,13,15,15,13,11,22
"Sbj1_Time2",2,1,0,29,14,15,9,28,22,23,11,11,13,13,11,22,32,23,19,25,14,23,25,22,7,25,15,17,18,22,15,12,13,20,17,26,24,16,8,28,21,23,24,23,27,11,24,12,14,33,21,24,12
"Sbj1_Time3",3,1,0,31,17,16,9,28,14,20,10,8,7,11,10,19,25,20,23,25,16,23,26,20,8,21,15,21,23,23,14,14,13,20,24,17,26,11,12,20,22,24,24,18,25,11,16,11,11,23,22,28,9
"Sbj1_Time4",4,1,0,23,11,11,13,26,18,22,9,14,10,13,13,17,27,22,24,26,7,17,20,25,10,20,12,17,23,21,16,14,13,20,20,27,31,9,6,23,22,28,28,20,27,11,29,6,12,25,22,22,15
"Sbj10_Time1",1,10,0,10,14,16,10,18,21,15,14,16,12,18,19,20,13,18,19,27,10,19,15,7,15,14,15,19,22,14,21,11,15,15,22,15,11,25,20,14,21,12,13,9,16,16,14,25,22,21,11,18,19
"Sbj10_Time2",2,10,0,21,11,14,5,26,20,15,13,18,13,19,15,21,31,20,16,23,10,18,12,19,18,26,23,20,28,9,23,14,18,20,17,24,28,14,16,9,16,25,13,12,19,19,15,2,9,24,23,25,17
"Sbj10_Time3",3,10,0,24,12,15,11,19,16,16,18,20,16,15,13,18,23,17,18,28,16,21,8,18,21,20,25,11,23,9,25,16,19,22,14,25,33,22,11,7,14,27,16,14,23,14,10,9,10,19,22,26,18
"Sbj10_Time4",4,10,0,14,10,16,13,24,18,20,16,24,15,19,16,10,29,25,18,27,11,20,11,22,14,22,21,13,24,7,28,18,16,20,12,25,36,16,10,17,18,23,18,14,27,24,11,13,12,16,23,26,21
"Sbj11_Time1",1,11,0,14,20,13,11,19,21,22,12,18,16,11,12,18,19,13,16,14,9,20,15,5,12,15,15,15,13,9,10,9,8,14,18,15,15,16,19,17,18,12,17,11,11,16,19,16,23,7,8,18,18
"Sbj11_Time2",2,11,0,22,12,12,13,26,24,13,15,12,9,16,12,16,30,27,18,22,22,13,8,27,22,26,25,24,32,9,22,14,26,16,19,30,30,8,11,10,23,19,21,10,14,11,11,17,11,21,22,26,13
"Sbj11_Time3",3,11,0,28,14,6,14,22,21,16,23,12,7,18,17,14,20,27,16,18,25,14,10,24,19,28,14,30,26,9,28,11,26,17,21,25,34,12,8,22,23,18,16,16,19,15,13,17,9,10,22,21,16
"Sbj11_Time4",4,11,0,24,16,9,17,24,25,10,19,15,15,16,19,11,24,29,18,24,18,21,11,25,18,28,17,21,32,10,27,7,20,13,24,28,31,9,18,16,27,24,18,14,13,12,12,19,11,15,22,22,12
"Sbj12_Time1",1,12,0,18,18,14,17,10,22,12,19,15,19,19,20,10,14,7,17,18,17,14,11,10,15,14,18,18,19,9,15,17,14,12,23,14,14,17,20,11,15,15,16,12,18,12,19,20,20,17,14,15,22
"Sbj12_Time2",2,12,0,33,14,14,12,20,24,25,19,12,9,17,11,8,21,20,24,21,27,21,15,28,12,32,18,13,20,11,18,13,24,27,8,18,24,15,9,23,24,18,17,14,20,10,16,10,10,22,19,36,16
"Sbj12_Time3",3,12,0,27,12,16,10,22,17,28,15,12,13,20,16,11,21,15,19,20,24,19,17,26,5,28,15,22,17,14,17,12,21,21,13,19,30,22,14,20,22,19,18,11,26,9,15,5,14,24,15,34,14
"Sbj12_Time4",4,12,0,28,10,15,14,20,24,27,17,13,8,20,7,20,26,19,21,21,25,17,18,31,19,32,19,15,20,12,19,16,18,21,17,23,25,23,10,18,19,22,18,12,23,6,19,11,10,23,25,41,20
"Sbj13_Time1",1,13,0,20,14,24,11,20,25,11,23,23,12,16,17,16,13,19,19,14,12,16,18,22,16,9,13,17,11,14,21,22,17,11,13,17,14,14,16,19,17,16,20,9,20,11,11,15,20,15,9,14,18
"Sbj13_Time2",2,13,0,17,11,7,12,30,16,17,23,16,18,10,18,22,26,25,9,26,7,25,13,18,16,18,18,23,24,10,26,10,21,16,17,26,38,21,6,25,25,27,25,7,20,16,9,10,18,20,22,29,7
