"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj1_Time1",1,1,20,22,19,13,20,20,14,16,14,16,25,21,12,12,14,8,21,15,19,10,16,22,26,16,18,19,19,14,24,14,10,27,23,20,22,14,14,14,22,17,18,14,18,18,16,9,9,19,18,14
"Sbj1_Time2",2,1,23,20,21,13,28,24,28,24,19,23,31,26,14,35,34,18,23,34,14,10,45,14,27,17,30,10,30,34,15,40,11,18,26,32,13,13,10,38,35,13,19,26,45,25,13,13,34,42,16,14
"Sbj1_Time3",3,1,27,11,22,19,33,26,32,21,17,19,28,23,6,26,35,22,18,32,24,13,40,16,25,18,31,9,27,39,13,42,15,30,29,29,14,19,9,27,37,15,13,25,40,24,8,13,36,41,23,17
"Sbj1_Time4",4,1,24,14,18,10,34,35,29,21,17,25,33,25,8,27,38,18,20,30,22,18,44,8,29,19,30,11,28,37,11,45,13,25,29,26,13,11,10,29,33,13,13,28,45,29,15,10,35,42,17,19
"Sbj10_Time1",1,10,17,20,29,22,20,24,12,19,23,22,11,15,19,13,18,4,23,19,18,20,18,14,23,13,15,17,13,12,14,17,10,17,16,12,10,18,22,15,21,17,18,21,22,17,16,18,11,16,16,9
"Sbj10_Time2",2,10,22,14,6,14,15,26,33,19,25,23,21,31,17,14,35,13,11,13,24,22,37,23,24,14,30,20,16,45,14,40,10,13,35,22,29,13,15,27,30,19,11,27,42,21,9,22,28,27,22,21
"Sbj10_Time3",3,10,25,15,13,14,17,31,34,19,21,19,19,38,14,27,35,10,15,7,23,20,36,21,25,18,24,26,16,36,16,42,17,13,36,20,24,16,12,29,26,17,7,27,47,20,10,15,23,32,28,19
"Sbj10_Time4",4,10,28,11,11,7,18,30,37,18,21,17,20,36,13,22,35,13,9,16,26,25,36,18,27,12,32,25,14,42,19,44,15,19,38,17,29,10,9,25,27,17,13,26,39,24,10,10,31,30,26,19
"Sbj11_Time1",1,11,16,19,13,15,15,15,12,11,21,19,14,18,16,17,28,12,25,22,18,14,17,11,16,13,16,14,15,19,16,18,24,20,19,26,16,15,13,15,19,24,17,13,11,22,23,25,20,26,28,17
"Sbj11_Time2",2,11,22,19,10,13,21,17,18,34,37,16,28,29,28,28,21,14,17,26,14,21,20,7,29,26,29,11,9,42,26,23,13,24,31,35,28,15,31,24,18,13,9,14,30,16,22,22,19,24,22,13
"Sbj11_Time3",3,11,23,17,11,8,16,19,23,30,29,12,20,24,30,24,25,13,13,19,12,18,18,12,27,23,26,12,10,38,27,25,6,21,34,35,25,16,29,32,20,22,16,22,36,11,21,15,15,27,25,12
"Sbj11_Time4",4,11,18,15,16,11,15,20,20,28,29,13,31,17,23,22,23,16,15,22,17,24,18,17,27,27,26,16,12,45,25,21,8,30,31,33,21,17,23,34,21,17,18,18,37,21,20,15,19,22,24,8
"Sbj12_Time1",1,12,25,6,15,20,14,22,12,20,17,21,13,15,10,22,16,11,13,19,18,18,9,13,16,21,11,20,14,17,20,10,22,14,23,12,20,24,15,26,22,14,21,19,17,19,21,20,23,21,16,19
"Sbj12_Time2",2,12,35,15,19,11,26,31,24,29,13,14,30,35,26,38,41,17,14,24,21,16,30,15,26,17,30,30,14,40,20,46,12,23,41,13,18,7,23,26,27,33,10,18,36,17,13,15,27,36,29,13
"Sbj12_Time3",3,12,34,13,15,11,20,23,24,22,17,14,25,36,21,35,32,18,7,25,23,17,30,20,21,19,31,33,11,31,24,46,8,21,37,16,28,13,29,27,37,34,12,9,33,27,12,8,32,36,25,7
