"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj1_Time1",1,1,13,13,12,16,19,12,22,11,22,20,17,15,4,8,10,17,13,8,13,19,12,22,24,13,21,17,18,20,19,27,16,15,19,10,17,21,15,7,15,16,11,22,15,19,20,15,13,19,14,13
"Sbj1_Time2",2,1,10,37,22,6,9,18,6,39,9,23,14,36,13,19,22,41,30,22,6,8,33,46,27,21,33,11,16,25,35,7,30,31,11,7,5,12,20,42,22,22,24,17,17,24,8,17,10,25,12,40
"Sbj1_Time3",3,1,12,34,20,14,11,16,9,37,13,30,12,36,7,18,20,39,25,17,12,10,22,42,23,13,35,12,10,24,33,10,29,34,11,13,7,9,26,41,18,24,22,22,12,23,11,18,7,19,25,38
"Sbj1_Time4",4,1,10,33,19,10,7,18,10,34,9,25,10,39,10,18,20,44,25,23,8,12,30,42,21,15,36,13,5,27,32,8,28,30,10,10,6,9,24,42,19,26,22,19,15,29,12,19,6,17,15,37
"Sbj10_Time1",1,10,23,15,13,12,16,18,12,15,13,6,14,15,14,17,17,18,14,10,7,22,19,18,24,16,17,14,13,13,10,12,10,11,18,14,12,20,13,20,18,16,22,23,13,13,14,9,18,18,17,21
"Sbj10_Time2",2,10,19,26,14,19,5,28,17,21,27,9,30,12,25,8,12,16,19,17,8,9,13,14,21,23,22,28,23,30,11,18,8,11,33,12,28,26,8,14,8,11,23,41,11,28,19,16,14,24,8,8
"Sbj10_Time3",3,10,26,22,10,27,13,33,15,26,29,13,36,11,24,10,18,28,19,19,14,13,10,12,17,19,23,24,19,31,15,22,10,15,35,14,28,22,10,5,11,9,20,39,10,29,12,7,11,18,12,10
"Sbj10_Time4",4,10,22,26,10,23,5,26,12,27,25,19,35,9,23,12,6,23,11,23,13,12,15,10,16,19,23,26,17,28,11,23,13,16,31,8,27,25,9,6,6,7,24,45,8,35,10,6,12,24,14,7
"Sbj11_Time1",1,11,19,14,11,18,23,16,13,20,16,13,13,17,21,10,22,16,22,22,16,13,9,19,24,24,16,18,12,17,17,17,19,9,15,20,22,10,7,18,16,6,14,11,8,21,21,16,12,14,14,18
"Sbj11_Time2",2,11,39,49,18,37,20,22,10,28,25,48,14,13,7,22,36,3,35,46,29,25,9,9,13,48,28,54,50,43,20,12,10,15,58,12,26,17,56,43,15,13,9,8,18,17,9,40,56,7,14,24
"Sbj11_Time3",3,11,31,42,26,40,19,18,4,27,21,50,6,11,9,17,29,6,36,45,36,21,10,8,5,42,22,53,47,52,26,9,7,10,54,15,31,13,56,35,21,11,9,5,17,29,14,37,65,8,12,22
"Sbj11_Time4",4,11,41,44,16,36,9,18,11,28,18,50,14,13,11,12,32,9,29,51,34,30,12,13,11,42,23,53,48,43,23,8,11,11,57,9,24,14,60,44,15,15,11,13,19,26,12,30,59,9,12,17
"Sbj12_Time1",1,12,18,15,9,15,12,11,12,8,18,13,9,9,14,11,13,16,15,18,6,19,17,24,20,15,15,19,10,13,12,26,11,21,15,5,15,12,11,11,10,16,15,12,10,17,14,14,16,14,16,9
"Sbj12_Time2",2,12,6,17,11,20,17,30,17,42,12,36,34,24,7,23,24,6,46,14,38,30,40,5,10,23,20,13,18,9,16,11,12,43,38,13,8,37,25,11,14,40,5,17,8,29,37,12,18,31,16,13
