"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj1_Time1",1,1,14,14,13,17,20,13,22,12,23,21,17,16,5,9,11,18,13,9,14,20,13,23,25,14,22,18,19,21,20,28,17,15,20,11,17,22,16,8,16,17,12,23,16,20,20,16,14,20,15,14
"Sbj1_Time2",2,1,10,38,23,6,10,19,7,40,10,24,15,37,13,20,23,42,31,23,6,9,34,46,28,22,33,12,16,25,35,7,31,31,12,8,6,13,21,43,23,23,25,18,18,25,9,18,11,26,13,40
"Sbj1_Time3",3,1,12,35,21,15,12,17,10,38,13,31,13,37,8,18,21,40,26,18,13,11,23,42,24,14,36,13,11,24,33,11,30,35,12,14,8,10,27,42,19,24,22,23,13,24,11,19,8,20,26,39
"Sbj1_Time4",4,1,10,34,20,11,7,19,11,35,10,26,11,40,11,18,21,44,26,24,9,13,31,43,22,16,37,14,6,28,33,9,29,31,11,11,7,10,25,43,20,27,23,19,16,30,13,20,7,18,16,38
"Sbj10_Time1",1,10,24,16,14,12,17,19,13,16,14,6,15,16,15,18,18,19,15,11,8,23,20,18,25,17,18,14,14,14,11,13,11,12,19,15,13,21,14,21,19,17,23,24,13,14,15,10,19,19,18,22
"Sbj10_Time2",2,10,19,27,15,20,6,29,18,22,28,10,31,13,26,9,13,17,20,17,9,10,14,15,21,24,23,29,24,31,12,19,9,12,33,13,29,27,9,15,9,12,23,42,12,29,20,17,15,25,9,8
"Sbj10_Time3",3,10,27,23,11,28,14,34,16,26,30,14,37,12,25,11,19,29,20,20,15,14,11,13,17,20,24,25,20,32,16,23,11,16,36,14,29,23,10,6,12,10,21,40,11,30,13,8,12,18,13,11
"Sbj10_Time4",4,10,23,27,11,24,6,27,13,28,26,20,36,9,24,13,6,24,11,24,13,12,16,11,17,20,24,27,18,29,12,24,14,17,32,9,28,25,10,6,7,8,25,45,9,36,11,7,13,25,14,8
"Sbj100_Time1",1,100,10,17,17,15,11,8,10,12,20,23,28,10,23,11,17,13,12,22,16,14,19,16,11,26,18,12,13,19,15,17,15,17,17,25,19,16,12,15,13,13,17,18,17,17,18,17,22,8,17,12
"Sbj100_Time2",2,100,14,43,36,13,42,36,19,11,47,8,8,12,14,13,15,30,31,41,14,13,13,55,51,14,25,14,62,13,40,58,20,12,12,9,60,13,30,21,47,32,11,21,13,50,11,25,10,49,18,30
"Sbj100_Time3",3,100,10,50,32,11,43,31,21,11,47,13,11,14,10,10,16,38,36,37,10,13,14,53,53,17,30,7,65,10,37,53,15,12,3,21,62,18,25,25,50,28,18,17,11,35,8,20,12,46,26,36
"Sbj100_Time4",4,100,12,43,33,14,39,39,21,10,45,9,10,14,14,11,17,39,31,35,12,11,15,54,52,12,26,17,61,11,38,53,21,7,10,12,57,13,31,20,54,28,9,12,13,38,16,28,12,55,18,22
"Sbj11_Time1",1,11,20,15,12,19,24,17,13,21,17,14,14,18,22,11,23,17,23,23,17,14,10,20,25,25,17,19,13,18,18,18,19,10,16,21,23,11,8,19,17,7,15,12,9,22,22,17,13,14,15,19
"Sbj11_Time2",2,11,40,50,18,38,21,22,11,28,26,49,15,14,8,23,37,4,36,47,30,26,10,10,14,49,29,55,51,44,21,13,11,16,59,13,27,18,57,44,16,14,10,9,19,18,10,41,57,8,15,25
"Sbj11_Time3",3,11,32,43,27,41,20,19,5,28,21,51,7,12,10,18,30,7,37,46,37,22,11,9,6,43,23,54,48,53,27,10,7,11,55,16,32,14,57,36,22,12,10,6,18,30,15,38,66,9,12,23
"Sbj11_Time4",4,11,42,45,17,37,10,19,12,29,19,51,15,14,12,13,33,10,30,51,35,31,13,13,11,43,24,54,48,44,24,9,11,12,58,10,25,15,61,45,16,16,11,14,20,26,13,31,60,10,13,18
"Sbj12_Time1",1,12,19,16,10,16,13,12,12,9,19,13,10,10,15,11,14,17,16,19,6,20,18,24,20,16,16,20,11,14,13,27,11,22,16,6,16,13,12,12,11,17,16,13,11,18,15,15,17,15,17,9
"Sbj12_Time2",2,12,7,18,12,21,18,31,18,43,13,37,34,25,7,24,25,7,47,14,39,31,40,6,11,24,20,14,18,9,17,12,13,44,39,14,9,38,26,12,15,41,5,18,9,30,38,13,19,32,17,14
"Sbj12_Time3",3,12,13,19,14,16,12,32,6,35,11,31,30,30,6,24,31,14,38,15,35,39,47,16,7,27,18,7,19,10,19,13,18,44,39,9,9,38,23,12,27,48,10,21,16,21,41,14,18,37,11,20
"Sbj12_Time4",4,12,10,8,9,20,14,35,8,41,12,33,35,32,11,21,27,14,37,20,34,36,43,10,8,19,21,16,17,13,15,12,14,40,33,8,13,33,32,15,21,45,14,12,9,21,42,8,18,32,15,13
"Sbj13_Time1",1,13,13,17,19,20,19,19,16,16,15,18,16,17,16,19,14,22,13,16,21,11,16,11,12,16,15,19,19,24,16,15,27,12,16,11,15,13,16,19,18,13,13,13,19,18,19,13,14,15,18,9
"Sbj13_Time2",2,13,36,26,27,20,11,35,47,35,19,16,14,31,45,21,11,3,27,22,13,46,10,10,6,9,24,37,4,31,6,12,13,16,10,28,9,17,21,11,14,35,29,40,36,41,24,6,31,15,42,37
"Sbj13_Time3",3,13,33,26,26,18,10,35,49,31,14,21,14,39,45,20,6,11,26,28,7,46,6,7,15,9,27,40,10,39,13,15,10,11,13,27,9,18,22,14,16,40,29,34,39,42,20,3,30,13,36,35
"Sbj13_Time4",4,13,37,26,30,23,12,37,43,40,15,22,13,27,46,15,14,13,23,23,12,44,12,13,4,8,31,41,10,36,12,14,12,12,7,25,8,11,29,14,16,36,33,42,37,40,26,7,31,9,40,32
"Sbj14_Time1",1,14,16,15,19,17,19,15,11,21,17,16,8,20,15,15,17,11,10,17,15,13,21,19,12,14,20,20,9,12,18,23,14,17,16,16,16,13,16,16,21,16,9,20,12,20,15,14,13,25,15,18
"Sbj14_Time2",2,14,13,6,25,18,41,25,41,21,20,29,55,12,29,8,9,13,21,28,17,21,29,14,35,18,38,17,27,8,47,12,39,18,11,10,34,41,24,47,13,13,9,28,27,20,44,26,3,11,20,53
"Sbj14_Time3",3,14,12,14,26,10,46,23,42,16,28,31,50,12,29,7,8,17,26,34,17,17,35,10,38,20,43,13,27,12,41,10,29,9,13,7,30,46,21,36,13,5,7,29,30,19,46,16,11,13,15,50
"Sbj14_Time4",4,14,10,13,28,12,40,32,43,26,19,25,50,14,22,9,6,8,27,27,15,18,31,10,38,11,45,12,23,4,49,7,33,13,13,15,32,47,24,38,11,7,14,18,31,21,50,22,14,16,17,43
"Sbj15_Time1",1,15,18,8,12,17,12,22,16,19,19,19,12,17,10,16,10,15,17,9,17,19,21,11,14,18,18,18,12,21,16,7,14,17,18,12,15,19,19,24,18,21,17,15,8,12,22,21,19,5,11,24
"Sbj15_Time2",2,15,36,21,34,24,34,14,15,12,33,5,36,11,14,7,17,13,30,45,22,13,18,38,11,29,38,25,22,11,10,21,31,22,34,21,16,12,37,23,28,20,13,14,42,13,11,10,42,9,6,13
"Sbj15_Time3",3,15,37,24,31,22,38,5,11,17,36,15,43,10,19,15,13,11,25,43,24,21,21,42,11,30,33,26,18,9,11,16,29,17,28,21,13,11,39,21,25,21,12,17,38,5,13,16,37,11,9,22
"Sbj15_Time4",4,15,38,23,32,25,34,14,10,17,30,8,37,11,15,8,12,8,33,38,19,24,23,41,12,30,35,27,18,16,11,23,32,21,30,18,12,12,41,18,30,21,12,15,43,2,6,11,40,11,5,18
"Sbj16_Time1",1,16,21,14,17,25,16,19,19,23,18,16,18,14,17,17,11,18,15,25,13,18,17,21,25,17,13,12,21,14,15,15,13,10,13,18,15,16,18,15,14,17,14,14,12,21,18,17,18,16,16,14
"Sbj16_Time2",2,16,20,21,24,32,11,31,8,43,15,23,10,21,13,23,19,9,43,7,20,23,11,37,18,23,23,17,27,4,16,17,15,10,12,17,17,30,29,6,11,17,6,13,23,17,21,28,22,39,15,14
"Sbj16_Time3",3,16,21,10,20,30,15,25,17,39,7,23,18,19,16,23,16,11,40,15,23,20,11,32,14,26,31,17,31,10,20,15,17,13,12,14,13,26,40,14,12,16,7,12,32,12,25,24,23,42,15,16
"Sbj16_Time4",4,16,21,22,22,32,13,27,15,46,6,19,11,22,16,27,22,19,40,6,27,16,9,35,17,25,18,16,29,16,13,20,11,11,12,14,18,22,40,17,6,14,10,13,33,14,28,28,24,40,9,11
"Sbj17_Time1",1,17,7,14,14,21,11,10,20,19,24,16,20,16,19,13,19,11,21,14,7,11,20,15,19,15,9,16,17,22,14,11,16,22,16,11,21,24,16,19,23,12,16,17,16,19,20,17,12,11,20,25
"Sbj17_Time2",2,17,21,15,13,9,28,21,36,16,32,26,30,14,10,14,19,36,12,15,5,24,11,14,10,21,22,8,12,10,13,32,22,29,6,15,13,21,7,15,9,15,39,31,14,29,15,17,11,16,30,30
"Sbj17_Time3",3,17,23,9,6,11,26,18,38,10,32,30,24,23,11,16,13,42,18,11,17,36,10,11,13,22,22,17,7,15,13,27,23,32,13,19,16,29,14,8,8,19,42,27,22,32,8,18,10,19,35,24
"Sbj17_Time4",4,17,26,12,12,10,24,19,26,5,32,31,19,18,16,12,18,39,5,13,14,28,14,20,14,22,32,10,8,14,10,33,16,27,10,9,12,28,13,17,12,20,44,32,18,31,12,17,12,20,34,23
"Sbj18_Time1",1,18,19,13,19,11,16,10,26,16,13,15,17,22,11,17,12,17,15,20,24,15,14,21,16,16,15,21,17,25,13,21,20,24,12,17,19,19,5,15,9,19,25,13,10,19,18,14,13,14,11,18
"Sbj18_Time2",2,18,24,28,14,11,28,15,13,8,11,12,29,28,6,29,29,18,10,18,8,6,9,11,13,8,11,9,25,15,13,9,19,18,18,17,25,18,25,14,37,36,25,28,6,26,19,22,24,16,14,15
"Sbj18_Time3",3,18,23,32,12,10,27,13,6,11,16,16,31,28,10,33,28,19,10,24,11,10,12,8,8,11,14,14,21,17,13,11,16,12,13,9,22,20,21,13,40,35,23,21,11,29,21,19,26,11,10,19
"Sbj18_Time4",4,18,27,32,18,7,31,11,13,9,11,15,32,32,9,27,30,18,11,27,7,18,7,6,7,10,14,10,25,23,11,16,15,17,17,19,20,19,21,9,33,38,26,28,9,24,20,19,23,13,9,11
"Sbj19_Time1",1,19,15,12,14,17,20,17,11,13,14,21,14,14,18,15,16,25,11,24,16,9,12,17,10,17,15,22,20,17,13,11,17,12,14,14,16,27,19,22,18,19,18,12,18,19,8,10,10,15,15,22
"Sbj19_Time2",2,19,43,9,36,13,18,15,19,14,10,20,19,40,9,4,11,24,25,38,14,7,36,9,48,44,8,29,25,27,32,10,33,30,9,11,14,10,21,13,43,11,23,44,33,35,24,11,12,16,32,42
"Sbj19_Time3",3,19,36,11,36,8,12,7,15,9,10,10,15,32,11,14,8,18,30,35,11,16,38,7,49,44,7,29,27,26,36,17,29,39,12,9,18,16,24,5,42,13,27,37,30,37,33,10,8,12,35,36
"Sbj19_Time4",4,19,39,15,37,13,12,11,22,9,13,14,15,41,15,14,9,12,27,38,14,8,41,10,47,47,10,31,28,29,28,16,36,33,15,12,3,12,18,16,38,8,21,45,35,40,28,9,8,9,42,38
"Sbj2_Time1",1,2,14,25,19,14,14,11,17,14,26,18,12,26,16,20,27,20,19,15,7,19,13,14,27,15,10,15,15,24,13,12,17,18,13,14,20,21,23,6,14,17,14,14,17,17,12,16,15,13,11,14
"Sbj2_Time2",2,2,26,30,12,5,19,43,14,14,29,10,11,29,23,24,38,11,31,29,14,24,21,16,32,25,39,23,29,18,40,16,49,10,13,31,14,19,19,46,16,47,11,54,10,14,14,34,24,29,7,28
