"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj1_Time1",1,1,20,15,17,17,11,14,21,14,23,23,25,15,23,24,22,18,18,21,24,19,11,15,25,16,16,14,12,11,18,14,21,16,21,25,15,17,12,24,13,23,29,21,17,20,15,17,21,12,18,24,15,22,12,15,22,14,16,14,10,25,16,18,19,27,24,21,20,11,19,14,22,18,14,23,16,18,13,18,20,13,29,18,21,17,9,20,20,15,18,18,18,21,16,14,23,19,21,22,14,22
"Sbj1_Time2",2,1,13,55,13,26,17,8,46,11,25,24,31,34,14,67,51,34,11,10,6,14,22,29,24,52,10,29,48,30,26,17,28,50,53,14,43,18,13,13,15,40,28,19,80,18,13,52,54,18,22,17,16,40,52,14,35,27,54,41,63,16,11,14,46,42,28,29,23,36,34,18,31,17,31,18,15,14,32,5,74,6,20,16,9,39,17,15,39,30,17,11,13,63,14,50,16,14,14,15,17,46
"Sbj1_Time3",3,1,11,54,15,34,21,18,44,15,23,15,28,31,12,75,50,30,19,11,10,9,22,29,21,44,13,36,44,33,25,13,24,48,49,14,49,19,18,14,14,35,25,11,72,17,17,46,49,19,19,16,17,41,53,7,33,30,52,41,60,15,10,18,49,36,24,23,28,40,30,19,30,11,32,14,15,17,29,14,75,13,13,17,11,43,10,10,37,24,14,9,13,64,12,44,17,10,17,15,14,44
"Sbj1_Time4",4,1,13,50,14,29,14,15,44,13,30,18,27,29,20,71,47,28,11,22,16,7,23,34,27,51,13,28,48,27,28,14,23,47,54,18,47,10,15,13,14,42,29,12,77,17,10,47,52,19,20,14,18,35,47,8,33,34,51,34,57,12,21,13,44,43,31,27,25,40,19,20,45,11,29,23,14,13,32,11,79,15,13,11,14,41,17,15,41,26,15,15,11,54,15,50,16,10,16,12,12,47
"Sbj10_Time1",1,10,19,18,25,20,17,27,12,23,13,21,20,21,12,12,17,13,20,20,17,22,18,23,22,18,18,13,16,13,19,14,13,22,21,17,26,16,19,23,19,15,12,14,15,13,17,15,20,19,15,16,20,18,14,31,18,13,25,23,22,15,25,11,23,16,22,12,19,19,19,24,16,14,11,20,19,20,21,20,25,23,14,23,25,22,18,17,15,20,24,13,14,23,18,16,21,15,25,19,17,21
"Sbj10_Time2",2,10,18,23,27,31,9,37,15,18,38,12,14,21,29,17,17,17,9,32,8,26,9,40,10,14,29,47,14,41,22,25,35,12,19,27,12,11,24,27,30,23,35,40,11,22,19,16,19,20,27,42,18,33,37,15,35,25,33,11,25,42,19,15,15,12,16,16,26,22,35,24,37,34,13,27,22,15,16,5,38,14,37,39,31,34,17,17,18,8,25,32,26,18,19,12,35,20,12,34,29,7
"Sbj10_Time3",3,10,15,16,28,27,20,33,10,16,34,13,14,24,32,16,20,12,11,39,15,23,14,44,13,12,33,37,19,31,18,33,32,11,19,27,15,15,20,18,31,19,39,27,18,23,22,20,13,14,31,41,10,30,34,12,37,22,40,18,23,41,11,16,20,10,17,15,26,22,25,27,30,28,10,32,22,9,16,14,41,15,37,30,23,33,17,23,12,14,29,35,25,20,12,14,33,21,11,27,32,15
"Sbj10_Time4",4,10,14,19,24,31,14,38,13,19,41,14,13,26,27,12,16,24,11,41,12,25,11,42,12,11,31,44,9,40,20,34,37,12,16,27,11,15,26,23,36,21,41,32,16,25,23,19,21,13,29,47,12,31,38,13,32,20,41,11,22,33,4,14,19,13,17,9,28,24,20,26,28,29,15,25,26,16,20,18,34,12,41,35,29,36,22,19,12,14,29,29,20,18,14,19,34,30,12,26,27,13
"Sbj100_Time1",1,100,26,24,17,17,20,13,13,25,18,12,17,23,22,20,13,25,14,17,14,16,18,16,18,23,13,23,20,21,21,19,21,17,12,18,18,23,21,19,29,18,14,16,13,21,24,15,18,20,22,22,22,29,21,19,20,17,26,18,12,16,20,26,17,24,13,15,18,15,21,15,22,16,20,21,21,14,14,12,22,21,16,19,19,18,26,28,27,16,16,10,22,27,22,19,23,14,23,24,20,14
"Sbj100_Time2",2,100,18,22,30,22,16,18,29,33,10,36,11,42,29,16,18,19,16,12,29,24,18,53,6,21,14,13,14,8,44,29,23,46,15,32,19,19,21,25,36,13,15,33,11,17,13,13,13,17,17,15,24,40,9,15,16,17,13,29,35,24,15,25,15,17,45,12,40,16,28,17,10,15,29,16,19,15,10,18,38,27,19,43,25,23,8,15,28,38,34,17,25,24,23,13,13,17,25,30,17,19
"Sbj100_Time3",3,100,16,24,37,15,10,23,24,29,11,32,14,44,35,19,11,10,17,11,31,19,19,56,10,21,16,12,11,13,46,21,17,44,16,39,18,18,18,22,37,13,24,31,14,22,9,15,15,21,20,17,27,34,15,15,17,11,17,26,33,21,18,25,14,22,51,16,45,18,28,20,15,9,29,19,14,18,12,15,37,28,23,42,21,26,14,12,33,35,28,11,30,34,21,5,14,21,12,24,24,15
"Sbj100_Time4",4,100,23,15,34,15,17,26,32,26,9,33,14,38,27,21,16,17,15,17,29,16,21,54,15,20,16,19,11,11,44,32,21,46,16,33,18,17,20,23,32,11,21,37,17,29,11,11,15,17,15,16,29,31,10,16,14,20,14,26,33,31,10,26,16,17,53,14,46,13,28,22,18,17,32,21,10,19,12,15,35,31,18,45,20,23,9,12,28,33,28,13,35,31,28,19,15,18,13,21,18,16
"Sbj11_Time1",1,11,26,18,18,29,17,19,20,19,8,12,23,15,11,18,23,18,15,20,17,23,19,29,30,26,21,18,17,16,21,14,15,13,19,20,23,18,13,11,17,18,20,24,19,24,15,23,14,26,17,19,18,16,21,23,23,19,14,16,28,25,26,15,25,19,17,12,11,27,18,22,22,12,24,22,14,13,14,21,27,24,8,15,23,8,15,18,23,13,20,14,22,20,16,17,19,16,18,17,26,17
"Sbj11_Time2",2,11,23,37,13,18,51,14,9,20,9,33,16,38,9,25,18,45,24,18,18,11,22,54,22,4,33,32,16,48,15,34,24,39,24,18,37,7,15,15,23,14,9,36,16,21,10,23,46,33,46,36,21,54,15,24,26,48,20,15,8,16,23,47,33,29,17,39,12,12,65,25,36,28,30,25,32,37,39,14,14,34,14,32,22,17,20,14,25,31,29,35,15,25,26,53,22,44,44,14,23,24
"Sbj11_Time3",3,11,25,38,16,22,51,18,16,31,9,33,7,36,15,15,10,45,20,14,12,9,23,56,17,9,26,32,10,44,14,31,29,32,17,16,38,14,17,12,20,17,13,34,17,10,12,23,42,38,45,36,26,52,16,34,26,50,16,10,13,16,25,45,28,35,15,46,15,16,54,24,37,38,31,27,33,37,37,15,12,45,14,39,27,17,23,13,25,37,35,45,11,24,28,47,22,38,44,16,30,17
"Sbj11_Time4",4,11,36,40,15,18,50,15,12,27,12,34,12,33,17,14,22,44,20,22,16,18,24,54,26,12,34,36,11,53,14,35,33,41,21,14,45,14,11,7,18,10,10,36,13,15,13,21,46,28,40,35,22,53,14,29,25,54,27,14,13,13,31,43,25,25,14,46,13,18,66,17,42,29,26,24,35,32,44,8,16,36,15,32,29,15,19,13,22,31,36,40,14,27,33,53,19,36,42,16,23,21
"Sbj12_Time1",1,12,27,18,18,14,23,18,16,22,11,16,18,23,15,26,16,23,19,21,19,20,24,11,23,14,19,24,17,14,15,17,16,18,22,12,30,21,24,22,22,21,21,27,17,15,16,16,26,16,21,23,13,21,21,14,22,17,17,25,22,12,15,18,21,22,22,10,10,23,23,16,18,22,21,18,17,19,14,20,19,24,28,14,22,24,15,13,15,17,16,16,26,11,29,19,18,26,22,15,8,11
"Sbj12_Time2",2,12,12,20,49,80,76,32,42,38,56,41,20,19,13,17,41,114,26,10,45,8,9,15,59,66,17,32,55,27,29,44,45,9,10,11,25,69,31,12,60,34,36,50,23,28,16,25,14,25,48,25,21,26,75,43,30,84,16,36,14,48,14,15,52,20,7,41,81,45,14,54,13,43,33,12,70,51,27,20,21,10,52,88,103,42,70,43,9,18,15,15,33,18,36,16,25,11,52,14,9,39
"Sbj12_Time3",3,12,12,16,47,71,76,32,47,35,52,46,15,17,9,16,36,111,30,12,48,11,12,12,72,59,11,37,58,30,29,51,48,15,9,19,26,65,32,14,53,32,37,57,28,24,15,20,19,32,43,33,20,22,78,40,27,79,18,32,10,45,9,14,53,26,10,42,78,50,14,58,18,47,38,6,71,44,25,23,29,17,48,83,96,44,68,42,15,15,12,13,39,11,40,18,21,7,58,16,14,48
"Sbj12_Time4",4,12,9,20,45,80,74,36,49,33,56,36,17,14,14,12,37,117,30,9,46,18,12,11,64,61,15,35,51,25,28,52,47,13,9,9,23,64,31,10,53,29,39,48,20,28,19,23,10,30,44,28,24,23,77,36,27,81,11,30,9,43,17,12,51,33,13,32,77,46,14,52,8,48,35,21,70,46,27,30,25,12,44,87,103,41,66,45,14,17,13,16,39,16,36,21,26,13,53,17,7,46
"Sbj13_Time1",1,13,10,27,23,13,13,17,25,23,17,23,17,16,16,20,23,18,20,20,18,11,16,22,15,25,16,21,17,18,20,10,17,15,14,13,20,18,25,17,15,10,18,19,15,26,23,17,24,17,25,19,15,16,23,21,27,25,14,21,22,20,16,24,13,14,19,19,19,16,24,19,17,23,13,19,17,14,20,18,16,27,22,20,22,18,15,23,19,17,17,24,18,18,16,12,19,20,16,19,15,23
"Sbj13_Time2",2,13,35,14,20,28,29,11,10,19,24,13,19,19,15,31,13,16,16,14,26,25,27,23,15,13,15,14,25,39,21,28,30,17,12,16,22,21,26,12,22,16,9,17,14,20,38,25,26,13,28,8,51,15,5,19,15,32,10,12,25,11,14,12,22,20,19,30,16,29,37,22,19,32,19,20,32,30,5,11,35,17,16,44,14,10,12,29,21,25,30,23,10,14,24,8,23,37,23,40,24,15
"Sbj13_Time3",3,13,37,17,26,20,22,9,15,17,30,17,15,9,19,34,15,16,15,16,23,25,33,19,10,19,16,18,16,46,9,28,35,15,9,12,19,17,30,14,22,13,12,14,14,17,37,23,26,11,29,10,51,16,12,18,15,32,12,17,26,13,20,18,23,21,31,30,15,29,41,21,14,23,20,15,33,28,12,11,34,23,20,39,15,11,12,35,27,26,33,23,19,16,14,16,23,46,25,38,20,14
"Sbj13_Time4",4,13,35,17,26,30,25,8,18,18,26,26,8,14,21,32,13,15,20,6,20,27,27,20,16,17,13,16,26,43,17,22,23,16,11,17,23,22,30,13,25,14,16,10,16,22,38,24,25,15,38,12,50,13,16,16,9,30,10,15,28,15,11,16,21,25,23,29,20,28,40,14,16,28,15,13,35,33,17,18,33,19,17,42,12,15,12,27,19,22,28,23,19,14,21,16,28,45,28,45,23,12
"Sbj14_Time1",1,14,22,22,19,21,20,14,22,24,11,10,23,21,20,23,20,13,19,20,19,18,17,18,20,15,17,19,24,19,28,10,21,16,19,25,24,11,19,21,20,12,18,18,27,22,15,23,18,19,26,14,23,18,19,25,17,24,10,11,19,22,12,13,9,20,21,17,16,17,16,18,17,14,16,13,23,20,21,23,21,16,21,16,26,15,22,25,26,19,18,17,24,19,32,16,12,15,26,16,23,15
"Sbj14_Time2",2,14,33,14,17,54,34,15,16,27,11,16,21,53,7,27,41,17,58,33,18,26,33,17,16,18,50,26,16,13,16,35,51,59,14,32,15,23,28,14,36,15,16,16,18,21,30,24,46,12,23,22,43,16,14,30,8,42,16,44,16,12,18,19,20,29,12,12,52,38,26,23,34,26,36,25,42,50,14,28,15,47,18,14,34,21,14,42,23,51,51,34,25,29,18,13,24,26,11,42,40,45
"Sbj14_Time3",3,14,38,10,11,55,36,11,18,29,15,20,20,55,19,28,34,14,48,31,21,25,28,11,9,17,46,22,18,12,13,39,48,54,17,42,14,24,28,10,32,12,20,13,25,26,28,15,52,13,22,22,41,12,11,29,10,42,12,31,11,12,21,16,18,33,12,11,50,44,28,26,33,32,37,20,38,53,20,25,18,49,12,14,32,19,16,34,20,54,46,35,25,27,25,13,29,22,15,51,44,46
"Sbj14_Time4",4,14,38,10,14,56,39,17,8,30,14,21,28,58,12,19,35,20,47,26,14,22,27,11,12,15,43,22,23,11,12,35,53,50,16,37,15,18,25,17,34,12,18,11,25,21,31,20,43,11,20,22,38,10,12,34,16,41,13,36,22,17,17,21,11,33,15,15,53,41,28,28,37,29,39,24,45,49,9,38,20,41,15,14,31,28,19,39,19,58,49,35,27,25,19,13,23,27,14,46,43,45
"Sbj15_Time1",1,15,14,11,22,21,24,21,21,19,25,9,21,23,13,23,21,17,18,23,20,8,16,12,22,22,20,15,20,16,23,21,16,21,12,21,27,16,21,18,15,20,18,24,18,23,21,21,21,17,18,15,17,17,16,14,23,15,20,19,19,18,19,13,19,16,21,23,14,21,17,12,21,16,20,19,17,12,20,15,17,20,23,28,26,20,18,12,20,16,15,20,24,14,27,19,10,17,12,17,23,15
"Sbj15_Time2",2,15,54,12,61,42,54,13,16,60,50,43,13,82,53,14,19,13,15,56,57,70,61,11,17,13,32,36,16,11,8,48,63,25,62,63,10,7,56,13,74,61,21,40,12,15,31,14,75,19,13,62,20,50,27,48,18,19,14,14,19,28,11,10,16,71,58,20,8,18,44,52,15,48,17,49,13,12,17,15,36,36,66,39,64,76,28,28,9,27,10,17,34,49,47,22,32,10,11,31,54,68
"Sbj15_Time3",3,15,50,16,56,45,54,18,11,64,51,42,13,80,53,17,25,18,14,56,58,73,66,10,16,15,33,40,12,13,14,52,57,25,63,65,13,15,58,11,75,56,19,39,12,11,34,12,67,22,14,64,22,51,29,39,20,20,13,13,19,24,14,13,19,65,55,6,11,14,45,47,14,42,14,42,10,11,13,11,31,36,64,47,67,78,28,23,15,28,7,18,27,50,49,16,28,13,8,33,62,63
"Sbj15_Time4",4,15,53,17,56,39,48,9,15,58,56,40,7,81,52,10,25,19,18,64,62,73,51,12,17,10,34,45,14,13,14,48,63,27,58,67,15,13,56,12,75,51,14,35,16,15,29,15,71,28,16,60,21,53,26,49,8,22,17,18,18,23,19,17,17,66,54,16,15,10,41,48,15,47,9,50,14,14,19,22,29,34,62,44,65,73,25,31,15,29,11,12,32,51,47,26,34,10,13,32,60,66
"Sbj16_Time1",1,16,20,26,21,18,24,16,19,18,26,15,22,17,16,15,16,16,14,16,20,22,15,24,25,22,24,20,14,14,23,23,16,22,21,11,21,19,21,18,23,13,22,19,16,19,17,16,19,18,23,18,19,28,25,14,15,17,12,24,14,14,19,25,13,17,19,21,22,20,20,22,20,16,26,16,22,16,22,12,18,16,12,20,10,22,16,20,22,16,24,20,24,14,16,16,16,25,16,14,10,18
"Sbj16_Time2",2,16,4,22,52,45,28,29,54,30,12,18,13,66,19,16,25,18,39,12,35,46,31,18,46,42,21,15,15,12,36,18,28,46,12,11,10,18,16,16,48,17,57,47,14,26,38,79,10,18,41,42,22,15,19,38,16,13,21,20,28,21,55,29,35,12,41,53,12,21,11,38,23,34,20,36,22,18,11,13,25,12,31,16,11,15,23,20,58,45,9,34,15,25,56,13,42,15,16,15,34,15
"Sbj16_Time3",3,16,11,20,52,43,15,22,56,29,12,19,19,63,15,10,23,23,34,14,35,33,35,16,51,41,21,16,14,13,30,12,30,57,12,8,14,20,12,23,55,15,51,43,16,23,39,81,13,10,34,46,17,11,17,34,20,11,26,14,24,27,45,27,30,14,43,47,17,27,14,38,26,30,12,39,27,16,15,13,26,9,23,21,14,13,23,13,57,44,10,37,25,31,50,10,37,19,21,12,40,13
"Sbj16_Time4",4,16,14,23,54,44,26,31,59,25,13,7,19,62,16,18,30,17,35,13,32,39,36,12,46,50,23,17,14,10,30,15,30,56,14,18,17,17,16,25,49,7,51,48,12,22,40,86,12,12,34,52,22,14,14,36,12,14,20,13,22,19,55,32,32,11,44,48,14,19,13,36,34,33,21,34,25,21,14,13,22,17,28,17,21,9,15,15,54,47,14,32,21,33,51,16,34,18,19,14,45,13
"Sbj17_Time1",1,17,17,21,26,23,21,22,8,19,18,21,16,18,22,16,21,18,23,28,24,15,12,13,21,16,11,21,15,23,22,21,25,18,27,24,16,17,19,23,17,12,17,10,20,19,19,12,14,18,23,21,15,17,15,22,16,14,27,14,17,27,21,17,24,20,24,22,20,23,18,25,14,15,22,20,16,13,21,17,22,26,24,23,22,24,21,14,20,22,22,28,19,17,14,18,18,18,21,20,16,18
"Sbj17_Time2",2,17,34,26,13,24,27,12,18,13,17,14,11,11,41,16,12,13,42,12,16,15,32,17,20,18,25,17,37,17,9,14,20,18,10,27,17,40,22,24,26,21,24,25,22,34,17,30,22,16,13,20,13,24,15,15,31,28,21,32,47,32,28,17,27,22,14,29,17,21,13,18,27,12,11,28,10,12,23,20,26,30,20,16,36,26,20,16,16,34,24,35,23,21,12,8,20,20,22,22,13,15
