"","Time","ID","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50"
"Sbj1_Time2",2,1,10,37,22,6,9,18,6,39,9,23,14,36,13,19,22,41,30,22,6,8,33,46,27,21,33,11,16,25,35,7,30,31,11,7,5,12,20,42,22,22,24,17,17,24,8,17,10,25,12,40
"Sbj10_Time2",2,10,19,26,14,19,5,28,17,21,27,9,30,12,25,8,12,16,19,17,8,9,13,14,21,23,22,28,23,30,11,18,8,11,33,12,28,26,8,14,8,11,23,41,11,28,19,16,14,24,8,8
"Sbj11_Time2",2,11,39,49,18,37,20,22,10,28,25,48,14,13,7,22,36,3,35,46,29,25,9,9,13,48,28,54,50,43,20,12,10,15,58,12,26,17,56,43,15,13,9,8,18,17,9,40,56,7,14,24
"Sbj12_Time2",2,12,6,17,11,20,17,30,17,42,12,36,34,24,7,23,24,6,46,14,38,30,40,5,10,23,20,13,18,9,16,11,12,43,38,13,8,37,25,11,14,40,5,17,8,29,37,12,18,31,16,13
"Sbj13_Time2",2,13,35,26,26,19,10,34,46,34,18,15,13,30,44,20,10,2,26,22,12,46,10,9,5,8,23,36,3,30,5,11,12,15,9,27,8,16,20,10,14,34,28,39,35,40,23,5,30,14,41,37
"Sbj14_Time2",2,14,12,5,24,17,40,24,40,20,19,28,54,11,28,7,8,12,20,27,16,20,28,13,34,17,37,16,26,7,46,11,38,17,10,9,34,40,23,46,13,12,8,28,26,19,43,25,2,10,19,52
"Sbj15_Time2",2,15,35,20,33,23,33,13,14,11,33,4,35,10,13,6,16,12,29,44,21,12,17,37,10,29,37,24,21,10,9,20,30,21,33,21,15,11,36,22,27,19,12,13,41,12,10,9,41,9,5,12
"Sbj16_Time2",2,16,19,20,23,32,10,30,7,42,15,22,9,20,12,22,18,8,42,6,19,22,10,37,17,22,22,16,26,3,15,16,14,9,11,16,16,29,28,5,10,17,5,12,22,16,20,27,21,38,14,13
"Sbj17_Time2",2,17,21,14,12,8,27,20,35,15,31,25,29,13,9,14,18,35,11,14,4,23,11,13,9,20,21,7,11,9,13,31,21,28,5,14,13,20,6,14,8,15,38,30,13,28,14,16,11,15,29,29
"Sbj18_Time2",2,18,23,28,13,10,27,14,12,7,10,12,28,27,5,28,28,17,9,17,7,5,8,10,12,7,10,8,24,14,13,8,18,17,17,16,24,17,24,13,36,36,24,27,5,25,18,21,23,15,13,14
"Sbj19_Time2",2,19,42,8,35,12,17,14,18,13,9,19,18,39,8,3,10,23,24,37,13,7,35,8,47,43,8,28,25,26,31,10,32,29,8,10,13,9,21,13,42,10,22,44,32,34,24,10,11,15,32,41
"Sbj2_Time2",2,2,25,29,12,4,18,42,13,13,28,9,10,28,22,24,37,10,30,29,13,23,20,15,31,24,38,23,28,17,39,15,48,9,12,30,13,18,19,45,15,46,10,54,9,13,13,33,23,28,6,27
"Sbj20_Time2",2,20,15,46,51,11,30,11,25,18,29,37,54,7,28,14,12,39,7,14,39,42,44,29,15,31,23,30,33,10,10,25,14,13,21,45,13,9,21,23,13,49,6,12,31,9,39,37,12,12,35,30
"Sbj21_Time2",2,21,17,9,17,26,19,13,12,13,23,26,22,19,20,35,29,10,12,6,11,41,25,21,27,8,23,15,33,11,21,20,24,11,26,24,6,17,14,12,21,26,33,19,21,9,16,13,26,13,11,30
"Sbj22_Time2",2,22,27,20,4,15,22,7,8,56,50,9,38,38,4,19,13,15,29,12,8,11,13,15,22,11,18,40,2,32,16,30,63,33,13,33,12,6,25,6,48,47,60,13,20,7,16,24,42,18,40,9
"Sbj23_Time2",2,23,14,16,12,8,13,19,24,7,15,33,10,29,9,30,20,27,31,28,6,12,29,32,28,15,32,34,14,22,32,11,15,15,32,9,32,16,15,15,14,9,14,20,31,13,34,16,24,12,14,24
"Sbj24_Time2",2,24,19,23,15,31,17,16,15,6,15,31,23,15,17,18,6,21,35,14,12,28,13,17,11,18,29,21,9,31,38,17,14,20,25,8,15,16,20,18,11,6,21,26,10,44,20,13,10,7,25,26
"Sbj25_Time2",2,25,31,17,9,25,16,6,32,14,12,13,12,27,25,33,10,7,23,18,14,10,16,6,18,23,28,9,28,18,29,21,6,34,19,25,17,26,30,6,10,15,5,25,33,6,20,14,28,20,21,12
"Sbj26_Time2",2,26,6,11,20,17,7,21,16,10,32,20,21,18,22,14,4,26,5,22,16,9,10,13,11,15,16,27,20,6,22,21,24,18,15,28,28,22,15,9,25,22,12,5,19,26,21,20,20,7,12,16
"Sbj27_Time2",2,27,8,22,8,12,15,27,21,14,11,14,4,22,19,14,21,15,12,18,30,9,7,18,17,18,20,12,9,17,19,15,16,30,23,4,4,11,11,12,23,16,26,16,21,19,14,12,24,33,9,17
"Sbj28_Time2",2,28,29,22,40,29,59,13,40,10,79,23,58,9,10,24,74,6,8,72,16,13,64,74,12,21,14,57,49,11,6,14,41,46,25,6,13,9,29,90,56,14,19,96,9,14,15,85,12,63,62,10
"Sbj29_Time2",2,29,5,1,31,24,16,107,68,4,33,32,28,74,46,11,10,22,44,56,5,27,13,6,31,79,7,53,37,54,2,37,55,44,32,19,57,8,58,113,13,88,78,6,11,35,65,12,33,17,11,19
"Sbj3_Time2",2,3,116,14,65,8,12,5,53,164,35,10,131,5,5,43,150,11,96,34,6,29,8,9,70,69,86,9,10,109,73,11,52,127,74,86,113,31,10,12,70,90,18,9,74,14,11,58,11,64,152,13
"Sbj30_Time2",2,30,36,66,36,61,45,73,16,7,28,10,37,63,69,7,63,51,9,14,17,16,38,31,13,9,39,16,46,33,35,49,22,24,9,5,21,21,6,68,37,29,11,49,53,40,9,18,15,45,6,12
"Sbj31_Time2",2,31,9,11,12,4,11,23,20,9,20,16,12,14,12,18,23,24,15,18,15,8,18,27,5,21,16,20,24,22,21,6,11,16,6,24,18,14,8,17,22,27,13,13,21,23,15,28,15,16,15,19
"Sbj32_Time2",2,32,16,26,26,17,16,14,14,34,11,13,18,21,12,9,15,9,7,18,9,16,24,21,21,26,10,26,21,18,15,22,9,10,14,30,23,12,5,12,25,8,16,13,24,14,21,24,26,23,14,28
"Sbj33_Time2",2,33,16,42,32,75,11,46,48,26,12,31,10,2,39,11,12,52,27,37,23,13,27,9,32,3,10,57,43,29,49,10,39,29,7,44,40,10,14,22,7,55,51,6,28,12,61,9,61,13,16,7
"Sbj34_Time2",2,34,18,13,14,14,22,16,23,27,29,14,14,15,20,19,16,18,22,10,6,31,20,8,27,27,13,12,12,5,7,19,10,10,8,20,15,14,12,10,24,19,12,14,23,21,8,23,13,23,15,8
"Sbj35_Time2",2,35,28,10,47,11,34,17,28,17,38,21,33,9,18,45,46,42,53,29,9,34,43,49,9,9,16,26,9,40,12,38,30,34,22,19,13,19,9,11,11,27,12,12,27,16,19,31,12,27,12,17
"Sbj36_Time2",2,36,22,17,12,35,21,36,34,23,18,45,20,19,13,36,15,13,31,38,20,39,12,13,21,25,55,68,11,9,28,32,29,11,19,24,36,39,20,54,19,19,17,37,52,7,38,8,12,16,28,26
"Sbj37_Time2",2,37,15,18,22,12,22,19,9,14,30,29,14,9,6,14,16,9,11,7,12,20,25,13,33,23,29,21,17,16,12,17,32,16,12,16,23,15,26,14,19,15,15,23,22,21,7,6,9,16,22,15
"Sbj38_Time2",2,38,16,22,35,42,7,39,12,13,6,18,22,35,11,30,7,29,18,8,23,39,22,12,20,19,14,10,39,14,17,25,29,11,31,21,17,18,21,33,13,19,24,13,10,13,16,23,7,26,33,12
"Sbj39_Time2",2,39,147,124,151,32,47,27,142,12,139,12,113,15,104,17,14,10,13,8,5,77,139,100,88,34,12,111,24,37,137,109,44,10,59,64,24,15,81,49,34,66,94,7,36,38,10,41,10,7,15,31
"Sbj4_Time2",2,4,17,12,50,30,17,25,13,12,20,25,9,32,0,16,21,49,12,18,26,50,24,9,30,25,24,26,14,41,41,10,7,8,19,26,8,17,28,33,22,15,8,35,51,37,14,12,9,20,32,25
"Sbj40_Time2",2,40,6,26,23,13,41,10,10,20,19,32,22,21,13,21,27,14,27,12,21,28,6,25,14,25,6,11,23,12,17,23,12,14,5,8,31,22,29,11,21,15,35,15,10,10,24,16,29,20,30,11
"Sbj41_Time2",2,41,11,12,19,23,38,8,12,20,31,11,27,35,20,24,27,18,35,29,7,12,33,17,19,26,7,12,4,30,35,30,12,23,28,21,24,12,9,10,32,10,9,31,29,19,13,31,9,9,14,39
"Sbj42_Time2",2,42,16,12,16,29,20,4,16,9,16,23,8,1,11,20,7,14,14,26,13,21,15,9,16,19,14,15,14,21,20,22,25,25,13,7,10,16,21,18,10,14,25,16,18,17,10,20,4,21,20,16
"Sbj43_Time2",2,43,7,6,15,10,13,23,11,32,31,20,12,23,11,15,33,23,41,30,19,10,24,10,32,26,14,18,6,18,18,10,30,24,9,21,12,39,17,29,17,14,13,10,12,32,17,22,13,18,10,28
"Sbj44_Time2",2,44,24,33,18,17,26,27,13,12,22,19,44,21,13,42,12,16,29,9,19,37,22,34,39,7,32,13,30,8,23,10,31,7,14,14,11,13,19,15,9,40,13,16,15,8,24,9,12,8,33,22
"Sbj45_Time2",2,45,21,25,28,14,28,11,14,11,31,8,21,14,20,29,36,17,34,35,23,32,16,14,9,13,27,10,32,22,9,18,13,11,12,20,24,22,23,7,21,21,11,18,12,10,28,12,10,8,31,13
"Sbj46_Time2",2,46,8,23,10,25,22,41,21,22,2,23,8,11,32,15,10,26,10,8,15,33,22,22,21,16,27,12,7,15,8,11,29,24,8,8,29,16,13,20,26,9,16,50,19,15,6,29,11,15,23,19
"Sbj47_Time2",2,47,26,21,13,18,15,34,35,7,20,10,12,14,12,13,21,12,10,16,11,33,18,16,17,15,10,14,41,14,39,30,16,23,31,27,15,11,14,10,25,32,9,18,22,5,31,16,39,15,15,14
"Sbj48_Time2",2,48,11,26,18,11,5,16,11,14,28,27,39,21,11,32,19,48,17,19,23,9,31,27,35,11,53,32,14,35,10,9,30,34,27,20,15,10,34,7,23,30,26,14,30,9,10,15,12,34,11,15
"Sbj49_Time2",2,49,24,58,25,22,22,12,13,38,54,18,20,49,41,24,44,22,15,15,21,29,8,15,46,12,21,19,11,46,6,48,38,26,47,7,13,44,29,28,27,11,31,16,11,13,8,47,8,14,21,22
"Sbj5_Time2",2,5,19,17,29,24,35,20,36,26,13,14,11,6,11,20,13,12,8,48,22,26,33,9,9,23,10,30,31,10,7,39,37,43,14,16,10,15,38,9,46,9,35,18,36,11,42,38,26,8,23,28
"Sbj50_Time2",2,50,30,64,58,44,35,6,31,23,10,27,25,31,14,28,14,14,11,9,30,29,39,8,19,9,33,18,5,9,9,63,26,5,14,25,28,10,47,35,9,27,39,76,34,13,49,8,12,11,22,35
"Sbj6_Time2",2,6,33,19,46,32,11,35,39,13,34,23,16,24,22,44,31,14,12,33,28,24,19,9,37,7,11,16,5,11,24,21,8,18,8,15,31,23,29,11,26,27,12,25,11,5,11,28,11,23,7,14
