"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",1,0,0.003871,-0.18747,0,0,0,0,0,0,0,0,0,0.001753,0,0,0,0,0.000222,0,0.071089,0,0,-0.085716,0,0,0,0,0,0,0,0.031719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152693,0.008199,0,0,0,0,-0.44961,0.031,0,0,0,-0.009538,0,-0.076745,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0.362619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51633,0,0,-0.512596,0,0,0,-0.064657,0,-0.353808,0,0,0,0,0,0,0,0,0,0,0.559163,0,0,0,0,0,0.197462,0,0,0,0,0,0,0,0,0,0,0,0,0.178461,0.216255,0,-0.1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.306699
"3",0.003871,0,1,-0.209401,0,0,0,0,0,0,0,0,0,0.452992,0,0,0,0,0.000248,0,-0.105669,0,0,-0.095743,0,0,0,0,0,0,0,0.035429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22697,0.472081,0,0,0,0,-0.008609,0.034626,0,0,0,-0.010654,0,-0.085723,0,0,0,0,0,0,0
"4",-0.18747,0,-0.209401,1,0,0,0,0,0,0,0,0,0,-0.094857,0,0,0,0,-0.001185,0,0.032949,0,0,0.457223,0,0,0,0,0,0,0,-0.169193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070772,-0.44357,0,0,0,0,0.416961,-0.165358,0,0,0,0.050878,0,0.409372,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297391,0,0,0,0,-0.271008,0,0,0,0,0,-0.081217,0,0.184535,0,0,0.607255,0,0,0,0,0,0,0,0,0,0,0.390508,0,-0.371684,0,0,0,0,0,0,0.189651,0,-0.360643,0,0,0,0,-0.138936,0,0,0,0.115343,0,0,0,0,0,0,0,-0.069826,0,0,0,0,0,0,-0.151763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,1,0,0,0,0,-0.608434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338428,0,0,-0.483305,0.582831,0,0,0,0,0,0,0,-0.335485,0,0,0.140855,0,0,0,0,0,0,-0.565805,0,0,0,0,0,0,0.374953,0,0,-0.385143,0,0,0,0,0,0,0.563858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.413066,0,0,0,0,0.411421,0,0,0,0.687302,0,0
"7",0,0,0,0,0,0,1,0,0,-0.17487,0,0,0,0,0,0,0.578692,0,0,0,0,-0.137554,0,0,0,0,0,0,0,0,-0.613846,0,-0.789575,0,0,0,0,0,0,0,0,-0.606309,0,0,0,0,0,0,0,0,-0.430887,0,0,0.254176,0,0,0,0,0,0,0,-0.321565,0,0,0,0,0,-0.058953,0,0,0.140636,0,0,0,0,0,0,0,0,0,0,-0.748316,-0.668615,0,0,0,0,0,0,0,0,0.787346,0,0,0,0,0.158671,0,0,0
"8",0,0.362619,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187231,0,0,-0.628872,0,0,0,-0.107103,0,-0.382872,0,0,0,0,0,0,0,0,0,0,0.305759,0,0,0,0,0,0.242254,0,0,0,0,0,0,0,0,0,0,0,0,0.418993,0.568252,0,-0.144358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.623563
"9",0,0,0,0,0,0,0,0,1,0,0,0.130704,-0.291086,0,0.373039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2439,0,0,0,0,0,0,0,0,0,0.355839,0,0,0,-0.515097,0,0,0,0,0,0,-0.13684,0,0,0,-0.552323,0,0,0,0.114432,0,0,-0.328158,0,0,0,0,0,0,0,-0.232572,0,0,0,0,0,0,0,0,-0.257264,0,0,0,0.259771,0,-0.242846,0,0,0,0,0,0.130324,0,0,0.253826,0
"10",0,0,0,0,0,0,-0.17487,0,0,1,0,0,0,0,0,0,0.141646,0,0,0,0,0.676418,0,0,0,0,0,0,0,0,0.134332,0,0.147689,0,0,0,0,0,0,0,0,0.164504,0,0,0,0,0,0,0,0,0.458472,0,0,-0.708786,0,0,0,0,0,0,0,0.07037,0,0,0,0,0,0.289902,0,0,-0.030776,0,0,0,0,0,0,0,0,0,0,0.130858,0.314477,0,0,0,0,0,0,0,0,-0.241135,0,0,0,0,-0.605128,0,0,0
"11",0,0,0,0,0,-0.608434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440661,0,0,0.794343,-0.846308,0,0,0,0,0,0,0,0.632774,0,0,0.150071,0,0,0,0,0,0,0.736725,0,0,0,0,0,0,-0.578538,0,0,0.650828,0,0,0,0,0,0,-0.870011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.599798,0,0,0,0,-0.457462,0,0,0,-0.894923,0,0
"12",0,0,0,0,0,0,0,0,0.130704,0,0,1,-0.056549,0,0.048758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.348814,0,0,0,0,0,0,0,0,0,0.120754,0,0,0,-0.221459,0,0,0,0,0,0,-0.265048,0,0,0,-0.1073,0,0,0,0.022231,0,0,-0.368317,0,0,0,0,0,0,0,-0.291078,0,0,0,0,0,0,0,0,-0.049979,0,0,0,0.503152,0,-0.188852,0,0,0,0,0,0.163108,0,0,0.049311,0
"13",0,0,0,0,0,0,0,0,-0.291086,0,0,-0.056549,1,0,-0.108586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125904,0,0,0,0,0,0,0,0,0,-0.321242,0,0,0,0.16415,0,0,0,0,0,0,0.059204,0,0,0,0.52702,0,0,0,-0.393121,0,0,0.125529,0,0,0,0,0,0,0,0.102015,0,0,0,0,0,0,0,0,0.245478,0,0,0,-0.11239,0,0.181514,0,0,0,0,0,-0.057165,0,0,-0.242198,0
