"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1,0,0,0,0,0,0.004853,0,0,0,-0.000401,0,0.005085,0.015658,0.001326,0.001877,0,0,-0.33265,0,0.03369,0,0,0,-0.010678,0,0,0,0,0,0,0.10714,0,0,0,0,-0.043047,0,-0.004304,0,0,-0.012909,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063793,0,0,0,0,0.021059,0,0,0,0.176677,0,0,0,0,0,0,0,0,0,-0.238839,0,0,0,0,0,0,0
"3",0,0,1,0,0,0,0,0,0.154299,0,0,0,0,0,0,0,0,0,0,0,0,0.098753,0,0,0,0,0,0.108625,0,0.084444,0,0,0,0,0.375072,-0.117903,0,-0.391126,0,-0.096349,0,0,0,0,0,0,0,0.092129,0,0
"4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,1,0,0,0.464105,0,0.047172,0,0,0,0,0,0,0.035624,0,0,0.012815,0,0,-0.286857,0,0,0,0.129032,0,0,0,-0.084611,0,0,0.033501,0,0,0,0,0,0,-0.383383,0,0,-0.399052,-0.18844,0.0181,0.0871,0,-0.037861,0.017567
"6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.004853,0,0,0,0,0,1,0,0,0,-0.147162,0,-0.040423,-0.000161,0.038603,0.386665,0,0,-0.014589,0,0.162188,0,0,0,0.039314,0,0,0,0,0,0,0.045297,0,0,0,0,-0.002436,0,-0.125357,0,0,-0.375949,0,0,0,0,0,0,0,0
"8",0,0,0,0,0.464105,0,0,1,0,0.021893,0,0,0,0,0,0,0.07801,0,0,0.028518,0,0,-0.104149,0,0,0,0.059884,0,0,0,-0.183739,0,0,0.08635,0,0,0,0,0,0,-0.17793,0,0,-0.206455,-0.40865,0.045169,0.193824,0,-0.084251,0.040145
"9",0,0,0.154299,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.640008,0,0,0,0,0,0.703991,0,0.547278,0,0,0,0,0.411386,-0.018192,0,-0.06035,0,-0.624429,0,0,0,0,0,0,0,0.597081,0,0
"10",0,0,0,0,0.047172,0,0,0.021893,0,1,0,0,0,0,0,0,0.00168,0,0,0.000605,0,0,-0.013532,0,0,0,0.365581,0,0,0,-0.003991,0,0,0.00158,0,0,0,0,0,0,-0.12304,0,0,-0.018824,-0.008889,0.000854,0.004109,0,-0.001786,0.000829
"11",-0.000401,0,0,0,0,0,-0.147162,0,0,0,1,0,0.289448,0.045582,-0.040194,-0.056903,0,0,0.001206,0,-0.157308,0,0,0,-0.297786,0,0,0,0,0,0,-0.003745,0,0,0,0,-0.105735,0,0.130523,0,0,0.391442,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0.005085,0,0,0,0,0,-0.040423,0,0,0,0.289448,0,1,0.344295,-0.011041,-0.01563,0,0,-0.015287,0,-0.030295,0,0,0,-0.03094,0,0,0,0,0,0,0.047463,0,0,0,0,-0.149968,0,0.035853,0,0,0.107524,0,0,0,0,0,0,0,0
"14",0.015658,0,0,0,0,0,-0.000161,0,0,0,0.045582,0,0.344295,1,-4.4e-05,-6.2e-05,0,0,-0.047072,0,0.038754,0,0,0,0.152958,0,0,0,0,0,0,0.146149,0,0,0,0,-0.364574,0,0.000142,0,0,0.000427,0,0,0,0,0,0,0,0
"15",0.001326,0,0,0,0,0,0.038603,0,0,0,-0.040194,0,-0.011041,-4.4e-05,1,0.014927,0,0,-0.003985,0,0.044298,0,0,0,0.010738,0,0,0,0,0,0,0.012372,0,0,0,0,-0.000665,0,-0.307946,0,0,-0.102682,0,0,0,0,0,0,0,0
"16",0.001877,0,0,0,0,0,0.386665,0,0,0,-0.056903,0,-0.01563,-6.2e-05,0.014927,1,0,0,-0.005641,0,0.062712,0,0,0,0.015201,0,0,0,0,0,0,0.017515,0,0,0,0,-0.000942,0,-0.048471,0,0,-0.145366,0,0,0,0,0,0,0,0
"17",0,0,0,0,0.035624,0,0,0.07801,0,0.00168,0,0,0,0,0,0,1,0,0,0.016211,0,0,0.027916,0,0,0,0.004597,0,0,0,-0.407679,0,0,0.094354,0,0,0,0,0,0,-0.013658,0,0,-0.042181,-0.191315,0.147744,0.110183,0,-0.047894,0.383959
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",-0.33265,0,0,0,0,0,-0.014589,0,0,0,0.001206,0,-0.015287,-0.047072,-0.003985,-0.005641,0,0,1,0,-0.101278,0,0,0,0.032099,0,0,0,0,0,0,-0.322081,0,0,0,0,0.129405,0,0.01294,0,0,0.038806,0,0,0,0,0,0,0,0
"20",0,0,0,0,0.012815,0,0,0.028518,0,0.000605,0,0,0,0,0,0,0.016211,0,0,1,0,0,0.02311,0,0,0,0.001654,0,0,0,-0.032498,0,0,0.065866,0,0,0,0,0,0,-0.004913,0,0,-0.024757,-0.070189,0.029797,0.147131,0,-0.338483,0.014526
"21",0.03369,0,0,0,0,0,0.162188,0,0,0,-0.157308,0,-0.030295,0.038754,0.044298,0.062712,0,0,-0.101278,0,1,0,0,0,0.015214,0,0,0,0,0,0,0.314448,0,0,0,0,-0.109595,0,-0.14385,0,0,-0.431409,0,0,0,0,0,0,0,0
