"","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100"
"Sbj1_Time2",46,39,17,16,20,60,24,20,7,7,4,68,36,37,20,44,17,14,17,40,21,12,27,58,22,17,18,39,6,49,39,33,24,19,15,30,45,8,33,20,23,45,20,27,7,17,22,30,37,13,20,16,23,26,31,8,37,10,22,50,18,14,33,39,54,33,19,24,25,17,64,21,6,27,17,20,10,0,18,3,24,35,10,36,18,15,14,33,6,22,29,24,40,5,17,40,27,37,10,38
"Sbj10_Time2",29,36,39,19,26,5,22,12,15,37,30,16,20,39,24,17,40,42,30,11,13,24,14,11,15,27,53,37,40,10,13,48,16,24,22,12,35,13,14,10,17,25,12,19,14,39,3,39,42,18,22,25,29,21,16,10,40,48,8,28,31,16,33,49,11,33,47,45,6,12,46,27,17,10,28,15,15,29,34,72,48,43,4,37,27,16,11,21,23,15,32,20,16,21,30,51,13,16,29,42
"Sbj100_Time2",24,30,16,9,7,39,19,40,20,24,6,30,36,43,22,43,12,35,45,60,43,35,29,5,9,17,8,41,11,39,56,43,33,26,37,22,14,34,8,25,6,46,46,6,19,20,7,4,31,18,14,24,11,25,47,21,17,17,29,32,18,25,21,12,37,14,38,64,21,28,12,10,12,23,45,34,44,26,22,41,60,16,24,17,25,29,45,15,5,55,29,15,24,39,16,30,15,45,17,7
"Sbj11_Time2",59,26,20,20,12,56,73,34,7,6,16,12,27,46,19,25,63,21,11,13,45,12,10,32,54,15,34,19,19,22,11,30,3,38,21,3,39,35,17,21,71,5,46,28,27,40,24,22,40,20,18,13,28,34,19,86,16,31,22,34,17,22,37,24,23,21,57,47,14,18,14,29,62,32,33,33,31,36,30,10,21,1,6,28,9,6,20,6,9,10,2,63,16,22,40,13,47,31,23,40
"Sbj12_Time2",30,29,22,18,1,5,28,20,23,15,81,23,8,11,25,28,41,28,14,4,17,31,9,46,15,37,25,38,49,4,24,29,12,34,20,18,9,30,4,38,33,9,38,28,49,18,14,53,28,11,22,50,54,26,38,28,27,57,17,10,43,7,15,15,8,32,13,37,51,20,43,11,11,6,16,7,10,15,9,13,27,13,22,24,8,24,4,37,37,11,76,50,16,11,28,30,14,7,38,65
"Sbj13_Time2",20,36,35,14,57,9,14,28,14,38,28,40,24,37,21,8,35,15,5,49,3,15,16,20,32,7,18,40,45,18,29,25,30,30,11,14,22,26,10,14,14,36,48,21,41,18,43,26,9,40,52,30,95,21,15,10,23,20,22,21,29,30,45,25,16,25,5,9,17,27,28,9,53,21,10,33,36,18,37,63,68,36,19,27,14,72,59,42,17,26,11,12,11,8,19,39,32,21,22,30
"Sbj14_Time2",42,44,27,35,15,2,15,15,11,49,32,11,40,42,21,17,12,10,30,53,41,33,16,13,25,45,6,2,17,18,43,43,36,16,13,36,53,14,27,8,30,35,56,19,8,30,17,52,15,21,22,16,17,22,40,54,16,27,42,36,16,23,27,4,26,17,13,16,22,24,32,32,14,41,15,24,23,34,19,11,13,40,33,47,16,24,56,28,21,29,22,20,19,8,44,32,19,18,46,64
"Sbj15_Time2",39,28,49,11,34,7,22,39,15,19,20,21,21,35,29,16,20,45,19,33,18,24,18,19,3,20,12,31,17,37,24,33,12,32,18,24,15,25,22,7,3,34,7,16,20,40,47,35,45,15,24,26,23,10,27,38,20,12,52,22,25,24,46,30,21,61,39,31,19,29,38,12,6,20,42,35,13,13,61,32,28,8,46,31,25,26,51,31,17,15,7,12,11,31,32,3,13,22,26,9
"Sbj16_Time2",8,19,27,25,50,64,13,25,9,37,3,31,32,12,30,19,17,12,52,18,17,42,34,12,13,19,17,8,13,38,24,4,27,39,14,10,20,2,44,18,27,28,15,19,7,31,15,22,30,33,64,12,11,11,54,11,14,13,43,51,29,23,28,5,45,3,22,75,40,24,27,24,17,69,20,12,19,21,21,16,31,25,23,47,8,46,18,16,13,36,16,1,33,28,26,27,10,52,13,17
"Sbj17_Time2",15,20,10,33,30,30,19,11,20,5,37,7,52,5,34,26,5,13,2,28,12,9,31,18,46,37,54,13,34,4,11,42,13,31,22,45,30,44,38,28,52,8,28,24,13,18,33,65,28,27,5,11,18,52,12,24,32,50,120,31,9,19,44,19,7,24,17,20,14,69,47,18,19,9,27,15,14,9,10,35,30,23,18,10,19,30,34,24,32,43,19,31,8,20,17,44,56,10,16,27
"Sbj18_Time2",22,14,5,22,6,20,17,16,15,41,8,20,16,8,66,45,16,38,26,73,11,16,19,20,27,21,67,26,23,54,33,18,23,23,28,33,28,3,19,31,19,23,3,15,44,38,26,12,29,17,43,23,12,23,54,33,23,15,31,5,29,31,60,32,52,12,40,22,16,24,7,27,29,4,50,19,29,11,35,20,8,22,41,12,9,17,32,13,10,17,20,19,50,8,26,11,30,40,38,32
"Sbj19_Time2",36,21,28,52,44,19,63,22,51,10,14,23,7,49,40,21,62,12,7,23,21,13,22,44,35,20,26,5,9,18,43,29,20,33,18,23,9,10,36,30,39,13,5,5,41,14,23,46,24,17,7,10,40,52,26,18,44,21,28,6,21,67,18,30,24,10,25,23,53,40,2,25,24,31,21,23,34,8,27,36,22,9,3,11,35,49,38,34,25,14,31,72,33,21,34,34,18,30,44,7
"Sbj2_Time2",36,27,22,16,48,9,35,25,27,49,27,28,38,25,26,23,27,19,25,6,22,51,64,50,26,46,73,4,24,15,17,9,36,17,14,31,26,20,42,27,43,21,12,4,13,12,13,30,19,41,38,6,54,13,11,13,45,32,95,33,4,18,15,20,18,20,13,18,25,26,37,20,78,19,21,28,17,8,22,41,36,4,37,22,1,13,15,44,37,24,32,14,26,10,9,28,6,18,22,13
"Sbj20_Time2",18,7,40,7,9,21,8,7,48,41,12,65,17,28,16,45,62,8,20,36,22,55,37,10,54,11,20,31,10,18,23,31,37,25,6,14,18,19,22,37,18,26,15,29,25,33,55,17,7,21,52,17,35,6,21,37,15,35,68,12,14,19,19,18,24,16,15,32,12,28,9,20,16,23,21,7,9,7,23,29,20,64,85,40,31,19,23,49,37,15,47,6,16,26,38,33,2,30,15,52
"Sbj21_Time2",9,14,9,46,38,19,14,23,33,10,28,19,31,29,61,18,35,56,14,32,47,9,51,43,17,9,9,4,35,15,11,14,21,19,17,36,46,32,40,53,14,26,16,20,15,23,13,30,9,26,43,8,11,19,28,30,25,23,22,39,12,3,5,21,17,14,15,19,32,38,34,25,30,39,17,19,13,15,26,31,20,30,28,45,7,38,55,30,39,16,38,35,37,37,20,25,23,34,13,22
"Sbj22_Time2",28,20,46,17,51,22,16,15,15,20,4,23,41,24,13,50,17,25,22,14,62,18,36,45,15,20,19,5,7,29,24,33,29,27,43,49,13,6,40,38,23,20,23,28,25,17,22,16,32,47,27,14,20,22,30,33,30,22,37,30,15,15,30,56,34,18,30,10,14,10,27,68,4,3,45,30,51,25,24,20,63,25,23,45,26,52,13,11,19,23,7,22,15,34,22,11,46,44,9,36
"Sbj23_Time2",16,15,23,12,37,12,50,8,13,33,46,14,45,36,13,22,46,20,41,25,26,13,44,17,48,18,24,9,40,9,9,25,11,30,17,18,7,34,84,35,15,8,21,25,38,53,19,36,30,41,4,5,6,32,10,4,5,31,61,28,16,7,37,7,11,15,35,30,27,34,35,16,22,34,22,23,8,7,32,56,46,5,5,43,20,49,4,35,59,13,56,82,32,4,16,17,58,8,62,39
"Sbj24_Time2",27,16,21,15,14,24,45,14,10,15,24,13,60,24,24,13,37,39,41,22,20,32,14,4,35,14,10,36,24,12,21,5,18,31,57,12,14,14,10,33,15,37,12,24,10,55,57,45,20,21,4,32,24,50,41,24,16,31,24,58,40,25,4,16,20,30,27,5,18,16,19,38,24,6,18,10,10,20,25,34,34,17,20,37,37,13,42,13,21,30,6,28,75,10,12,18,37,16,6,60
"Sbj25_Time2",32,1,27,10,8,34,20,2,85,26,6,37,3,25,56,12,22,31,12,7,28,42,19,16,14,9,47,26,12,50,42,21,28,23,1,10,18,22,10,90,4,41,17,40,41,54,15,9,9,23,14,35,10,30,28,1,1,10,15,3,45,22,28,39,44,33,3,18,29,14,25,13,22,34,5,17,25,9,12,20,26,31,20,3,29,24,51,78,6,5,3,14,8,49,25,25,26,44,73,122
"Sbj26_Time2",32,42,10,29,13,6,38,37,60,18,11,42,35,9,35,45,14,33,1,7,16,24,12,24,27,7,10,27,24,40,24,12,11,22,5,35,24,15,35,7,12,24,41,10,35,24,21,10,8,31,11,24,35,42,19,16,36,18,14,19,8,42,21,9,32,15,10,38,11,15,25,35,6,35,9,11,24,20,41,6,16,8,11,23,18,30,20,48,31,4,23,41,31,44,6,28,39,43,24,24
"Sbj27_Time2",62,12,19,38,39,24,19,19,42,28,30,35,33,30,36,30,31,3,31,47,8,27,31,42,35,34,16,54,30,17,22,19,34,26,16,42,23,29,24,33,46,21,16,14,45,62,39,20,7,35,33,59,5,10,24,9,3,44,10,15,27,10,8,13,19,55,12,31,33,5,32,10,47,22,17,10,19,48,46,21,22,24,13,5,33,23,16,52,31,3,2,16,40,28,38,47,10,27,22,51
"Sbj28_Time2",4,14,43,32,13,185,18,6,25,7,0,28,16,30,17,32,8,18,17,20,12,8,36,44,37,8,27,47,2,136,46,20,23,16,13,28,16,2,19,43,35,39,11,19,20,53,25,0,13,17,12,36,55,63,74,32,23,6,11,31,33,35,13,10,94,34,11,21,17,20,40,39,46,18,10,13,6,35,39,65,47,18,19,25,29,62,24,48,0,14,22,31,10,56,36,45,98,109,33,22
"Sbj29_Time2",23,25,51,28,9,11,39,31,37,13,22,22,17,33,31,47,29,22,58,33,21,8,26,16,20,23,75,5,31,22,21,16,10,32,21,29,28,18,50,28,28,32,37,41,14,17,88,24,6,8,9,11,21,36,16,17,23,23,15,33,10,10,24,27,24,4,28,6,9,37,35,9,83,8,39,46,26,27,26,9,35,17,18,24,21,34,21,29,6,23,33,33,44,50,12,25,29,24,27,18
"Sbj3_Time2",14,18,14,28,38,11,30,28,9,13,23,11,56,12,38,27,35,14,40,23,8,21,16,67,16,15,69,34,26,14,17,16,10,24,36,11,26,32,18,18,16,17,19,5,15,10,30,25,41,29,2,46,23,25,31,49,20,24,6,44,31,30,21,15,23,24,42,44,23,11,18,29,13,46,27,36,47,53,15,14,1,31,23,32,45,31,16,10,25,30,51,57,11,17,6,22,27,19,13,12
"Sbj30_Time2",3,64,37,22,21,44,21,28,12,38,11,27,23,60,14,46,22,19,12,40,28,32,8,15,40,20,50,10,11,55,12,3,23,29,20,8,40,13,9,26,9,19,13,21,37,17,35,12,52,19,21,24,13,17,18,34,17,12,16,8,37,20,10,28,44,30,24,19,20,13,31,15,27,12,22,10,16,30,23,9,36,16,12,15,47,17,29,20,7,19,43,40,21,38,18,16,14,47,33,14
"Sbj31_Time2",22,54,15,50,23,39,21,22,30,77,8,15,19,24,47,27,41,19,29,10,59,58,43,26,22,11,16,44,11,56,25,47,27,34,23,16,46,12,33,25,13,19,22,8,20,20,62,5,22,20,26,72,33,5,22,31,38,9,8,44,34,38,81,44,36,24,7,49,8,22,19,17,28,38,9,4,13,24,19,11,9,33,32,45,15,21,19,40,6,38,18,21,48,25,25,26,5,51,8,27
"Sbj32_Time2",9,14,27,27,9,16,45,32,23,31,23,17,21,22,38,38,23,29,7,30,33,23,8,46,29,41,14,53,25,14,7,22,25,23,12,19,7,24,8,15,13,2,39,28,7,42,9,34,9,27,10,100,24,25,25,12,28,30,2,29,33,17,33,51,19,35,25,27,37,18,9,24,74,9,14,23,8,21,23,4,10,3,7,54,49,39,30,24,20,41,18,62,13,13,37,35,29,17,12,42
"Sbj33_Time2",3,39,31,39,28,17,29,29,19,35,53,30,20,32,20,24,38,13,10,22,12,39,16,34,23,31,12,8,25,9,32,22,20,18,55,67,36,27,46,10,9,25,5,45,14,17,34,26,18,47,12,4,35,32,17,60,19,31,39,28,6,14,70,47,6,10,65,54,41,34,40,19,28,50,34,37,42,9,14,35,17,8,14,34,3,32,36,10,42,36,2,27,16,14,7,26,17,18,23,27
"Sbj34_Time2",55,5,34,24,32,32,22,25,10,10,28,19,18,42,3,24,7,50,26,50,41,23,25,26,23,35,44,43,42,25,20,17,29,21,25,21,17,36,29,25,38,40,27,20,28,23,48,41,18,22,6,25,22,33,17,12,16,39,26,11,20,31,48,30,9,5,15,20,33,40,18,34,15,32,16,16,29,20,25,6,24,23,10,21,4,15,20,38,40,18,65,19,17,28,44,23,43,22,39,32
"Sbj35_Time2",23,20,22,25,17,24,30,18,24,97,32,28,17,38,24,26,38,32,17,53,18,62,19,46,29,39,20,7,38,22,13,71,6,16,16,14,11,32,45,34,42,31,10,61,41,19,30,40,34,34,31,14,30,5,35,20,48,24,22,17,11,29,1,26,24,17,14,60,18,50,16,17,28,19,16,17,26,27,10,43,39,15,25,15,20,52,24,28,31,14,6,10,14,23,13,34,6,19,12,35
