"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"1",5,0.0176620479846191,0.0181727823544247,NA,1,10
"2",6,0.013811310265603,NA,NA,0,10
"3",6,0.00033826149614019,NA,NA,0,10
"4",2,-0.0201205637363923,-0.0529705163988226,-0.00514514039413916,3,10
"5",3,-0.0390140032934074,-0.010950237815515,-0.0735224199075687,3,10
"6",5,NA,-0.0202882339238232,NA,0,10
"7",6,-0.0446346105134814,-0.0337069849574777,NA,1,10
"8",7,-0.0408765905662276,-0.122995932628308,-0.0642409386416897,3,10
"9",8,-0.0102110306613622,-0.120009262804745,-0.0799289788665208,3,10
"10",9,NA,-0.0601227317975435,-0.0505439977235151,2,10
"11",8,NA,NA,-0.00102980658704595,0,10
"12",2,NA,0.0160000614286432,0.011482897065627,2,10
"13",5,NA,0.00116691868065177,NA,0,10
"14",1,NA,NA,-0.000266807184662428,0,10
"15",1,0.121539011860084,0.0467394472912692,0.0639580526676572,3,10
"16",8,NA,-0.0269476473826875,-0.0255295250218464,2,10
"17",1,-0.0379928289095135,NA,NA,0,10
"18",5,NA,-0.015876468767677,NA,0,10
"19",1,0.0415450792477153,NA,NA,0,10
"20",5,0.000717856053801147,NA,0.000374862897092099,0,10
"21",10,NA,NA,0.00050442472440948,0,10
"22",5,NA,NA,0.0245219960812175,0,10
"23",1,NA,NA,0.0311365146243768,0,10
"24",4,NA,-0.000347442667922415,NA,0,10
"25",9,NA,-0.01792839244476,NA,0,10
"26",2,-0.0372261077600099,-0.00354381538079052,-0.014194659119479,3,10
"27",2,0.0169889756707344,NA,NA,0,10
"28",1,NA,NA,0.000736830521256061,0,10
"29",6,-0.0583697641828312,-0.0782199973048558,NA,1,10
"30",1,NA,NA,-0.0159925703310847,0,10
"31",5,NA,NA,-0.00664115945437208,0,10
"32",7,NA,-0.0141918461168028,-0.00525446526691409,2,10
"33",9,NA,NA,-0.00439529860706078,0,10
"34",2,NA,-0.00293184465915863,NA,0,10
"35",3,NA,NA,-0.0476911374603127,0,10
"36",6,0.0365569954299574,NA,NA,0,10
"37",10,0.0253328731918006,0.0497584677104376,NA,1,10
"38",3,NA,NA,0.000543192995251172,0,10
"39",5,-0.0585894385527588,NA,NA,0,10
"40",7,NA,-0.0427252961794725,-0.0200073163559491,2,10
"41",3,0.0216458253594057,NA,NA,0,10
"42",2,-0.0522104672150317,-0.0288158374991701,-0.00598966059654638,3,10
"43",5,NA,-0.0581350203438718,NA,0,10
"44",7,-0.0502069951911681,-0.0245787595259838,NA,1,10
"45",2,0.00352377215649403,0.0460100522298834,NA,1,10
"46",3,0.0438703432811903,0.0226006614314389,NA,1,10
"47",7,0.00584269111752572,NA,NA,0,10
"48",10,0.0206797834767974,NA,0.0145066233899439,0,10
"49",3,NA,NA,-0.000810007732259366,0,10
"50",5,NA,NA,-0.01621315461289,0,10
"51",1,NA,0.0190462366872624,NA,0,10
"52",2,NA,NA,-0.00394960136463762,0,10
"53",2,-0.00733962190836057,NA,NA,0,10
"54",3,-0.0460724830760426,-0.0983841266398404,NA,1,10
"55",6,NA,NA,-0.0280620408503663,0,10
"56",3,-0.000499217545172348,NA,-0.020645319847133,0,10
"57",7,-0.00308754735137271,NA,-0.0215837244635566,0,10
"58",3,-0.0161457649568963,NA,-0.00658747346913191,0,10
"59",4,-0.0381263923194203,-0.0189850502144665,-0.0478164300533734,3,10
"60",5,NA,NA,-0.0390297350459372,0,10
"61",7,NA,NA,-0.0339285053137093,0,10
"62",9,-0.0271772951903346,-0.0142988147594618,-0.0402404859259966,3,10
"63",3,-0.000352674557610682,NA,NA,0,10
"64",4,-0.00123705356347123,NA,NA,0,10
"65",10,-0.00391411630577154,-0.0233696185266408,NA,1,10
"66",4,NA,NA,-0.00856311867078786,0,10
"67",7,NA,-0.00788687053203663,-0.00715201932059012,2,10
"68",3,NA,NA,-0.000275096815480258,0,10
"69",4,NA,NA,-0.00260128496810451,0,10
"70",7,NA,NA,-0.000480370377459843,0,10
"71",1,NA,NA,-0.0833181527741995,0,10
"72",3,0.0392412102511619,NA,NA,0,10
"73",4,0.0591350692548778,0.0040944991120313,NA,1,10
"74",3,NA,NA,0.00329123348697485,0,10
"75",4,NA,NA,0.00022626272500436,0,10
"76",7,0.0324419908481026,NA,0.0665679604895364,0,10
"77",3,NA,NA,0.0756958062924296,0,10
"78",7,NA,NA,0.00447108360222548,0,10
"79",1,NA,0.0337300216201937,NA,0,10
"80",1,NA,0.0342118565749033,0.058609155143993,2,10
"81",5,0.0300355372365305,0.00512309420911194,NA,1,10
"82",2,0.0113780171142414,0.04421284680764,NA,1,10
"83",7,0.0593251411019271,0.0117793228528067,NA,1,10
"84",9,NA,0.00724073394142111,NA,0,10
"85",5,0.000518700694398198,NA,NA,0,10
"86",8,NA,NA,0.0363404856513421,0,10
"87",2,-0.12341071926856,-0.14103431418935,NA,1,10
"88",5,-0.0306960413032766,-0.00262145002702774,NA,1,10
"89",6,NA,-0.0291779776819188,NA,0,10
"90",9,-0.0345063730502124,NA,NA,0,10
"91",10,NA,-0.0415024932434229,NA,0,10
"92",1,NA,-0.00815063811737526,NA,0,10
"93",1,NA,NA,0.120409381502795,0,10
"94",1,NA,NA,0.00912153521926595,0,10
"95",1,NA,NA,0.00148983872916435,0,10
"96",4,NA,NA,0.00263050599529762,0,10
"97",1,NA,NA,0.0050801054593907,0,10
"98",4,NA,NA,0.0548223994043258,0,10
"99",8,NA,NA,0.0235021376982265,0,10
"100",1,NA,NA,0.000607348509379416,0,10
"101",1,NA,NA,0.0223753186666921,0,10
"102",2,NA,NA,0.0145134074780936,0,10
"103",3,NA,NA,0.037373196691362,0,10
"104",6,NA,NA,0.0792984868980992,0,10
"105",7,NA,NA,0.00167655393433475,0,10
"106",8,NA,NA,0.0646720689827013,0,10
"107",9,NA,NA,0.0188865467847978,0,10
"108",3,NA,NA,0.0788119384018142,0,10
"109",4,NA,NA,0.0450704642855998,0,10
"110",5,NA,NA,0.00254086757980565,0,10
"111",7,0.00890694230528655,NA,0.122325135681217,0,10
"112",8,NA,NA,0.00638826404081894,0,10
"113",9,NA,NA,0.037350391507042,0,10
"114",1,NA,NA,0.0762961629934117,0,10
"115",4,NA,NA,0.0021625855088853,0,10
"116",8,NA,NA,-0.00176326622712468,0,10
"117",5,0.0313437851792289,NA,NA,0,10
"118",8,NA,0.0250078081219132,NA,0,10
"119",4,0.0503435396555497,NA,0.120599115167069,0,10
"120",6,NA,NA,0.00258340799815204,0,10
"121",8,NA,NA,0.00150690902166173,0,10
"122",1,NA,NA,0.0168002607263219,0,10
"123",10,0.0387474395395319,NA,NA,0,10
"124",1,NA,NA,0.0149027432313815,0,10
"125",10,NA,0.00604568055955201,NA,0,10
"126",1,0.0181392938867841,NA,NA,0,10
"127",3,NA,NA,0.00162497663332519,0,10
"128",7,NA,NA,0.0249614603501982,0,10
"129",8,NA,NA,0.000226487192070132,0,10
"130",9,NA,NA,0.000384074391927757,0,10
"131",1,0.0501033922177069,NA,NA,0,10
"132",8,NA,-0.0127175867438195,-0.0497344248483732,2,10
