"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"1",7,0.0328018301048619,NA,0.0431879369885836,0,10
"2",5,-0.0467624727346173,NA,-0.0282248392064764,0,10
"3",5,NA,0.0181727823544247,NA,0,10
"4",10,-0.00754663936518648,NA,NA,0,10
"5",10,-0.000771702957336469,NA,NA,0,10
"6",9,0.00157473312529521,NA,NA,0,10
"7",2,-0.0250349891929461,NA,-0.0073784112172659,0,10
"8",2,-0.0522963823050283,NA,-0.0487071556524328,0,10
"9",2,NA,-0.0529705163988226,NA,0,10
"10",3,NA,-0.010950237815515,NA,0,10
"11",5,NA,-0.0202882339238232,NA,0,10
"12",6,NA,-0.0337069849574777,NA,0,10
"13",7,NA,-0.122995932628308,NA,0,10
"14",8,NA,-0.120009262804745,NA,0,10
"15",9,NA,-0.0601227317975435,NA,0,10
"16",6,0.162911271647575,NA,0.18475914074199,0,10
"17",10,0.161685239879618,NA,0.16857272724762,0,10
"18",4,-0.161559503681115,NA,-0.182273293685885,0,10
"19",2,NA,0.0160000614286432,NA,0,10
"20",5,NA,0.00116691868065177,NA,0,10
"21",5,0.0657540544581164,NA,0.0717848004590912,0,10
"22",1,0.0510549701180466,NA,0.0520477834152319,0,10
"23",9,0.0689816952740984,NA,0.0598618053386908,0,10
"24",1,NA,0.0467394472912692,NA,0,10
"25",8,0.0473367132110672,NA,0.0166342058648519,0,10
"26",2,0.0239872912384522,NA,0.0205336961190195,0,10
"27",1,0.0401703674833049,NA,0.03706470426413,0,10
"28",3,NA,NA,0.00336453007527326,0,10
"29",9,0.177088172090884,NA,0.185224285541835,0,10
"30",3,-0.0351430651775977,NA,-0.050089225309208,0,10
"31",8,NA,-0.0269476473826875,NA,0,10
"32",3,0.00188413932833527,NA,0.00318332216652289,0,10
"33",5,NA,-0.015876468767677,NA,0,10
"34",4,0.152746427459548,NA,0.180477099192318,0,10
"35",8,0.0466941878435695,NA,0.00785921490691721,0,10
"36",1,-0.0308586255024552,NA,-0.0391941452676122,0,10
"37",6,-0.00394936515712097,NA,-0.0215435723715919,0,10
"38",3,0.0205921336312456,NA,0.00637445982702778,0,10
"39",3,-0.0100995522456383,NA,-0.00659219792943648,0,10
"40",3,0.024772531345408,NA,0.00994964667222897,0,10
"41",3,0.164229976039863,NA,0.16551750237972,0,10
"42",2,0.000730170225358218,NA,0.000200431842811457,0,10
"43",4,NA,-0.000347442667922415,NA,0,10
"44",9,NA,-0.01792839244476,NA,0,10
"45",2,NA,-0.00354381538079052,NA,0,10
"46",7,0.181640387316591,NA,0.201289122353365,0,10
"47",5,0.177275335847302,NA,0.182802321453408,0,10
"48",6,NA,-0.0782199973048558,NA,0,10
"49",7,NA,-0.0141918461168028,NA,0,10
"50",1,-0.00571865089706249,NA,NA,0,10
"51",2,NA,-0.00293184465915863,NA,0,10
"52",6,0.165035540164561,NA,0.184453136355834,0,10
"53",6,NA,NA,0.00116533136469343,0,10
"54",7,NA,NA,0.0106801542658643,0,10
"55",10,NA,0.0497584677104376,NA,0,10
"56",9,0.00726414516323826,NA,0.00717956084160409,0,10
"57",7,NA,-0.0427252961794725,NA,0,10
"58",4,-0.101995295122362,NA,-0.130563024538909,0,10
"59",6,-0.159359926439842,NA,-0.175664446441649,0,10
"60",2,NA,-0.0288158374991701,NA,0,10
"61",5,NA,-0.0581350203438718,NA,0,10
"62",7,NA,-0.0245787595259838,NA,0,10
"63",2,0.164557684172585,NA,0.163238881570646,0,10
"64",4,NA,NA,-0.00103243635670165,0,10
"65",5,0.0208674588925623,NA,0.0153775702913064,0,10
"66",2,NA,0.0460100522298834,NA,0,10
"67",3,NA,0.0226006614314389,NA,0,10
"68",5,0.019283635848018,NA,0.0076949053927835,0,10
"69",10,0.136013829637658,NA,0.14963479925521,0,10
"70",10,0.164555368107586,NA,0.170130638610558,0,10
"71",3,0.0249332467431667,NA,NA,0,10
"72",1,NA,0.0190462366872624,NA,0,10
"73",5,0.0479641144268457,NA,0.0330288976567659,0,10
"74",5,-0.0110084224028683,NA,-0.0167148841868476,0,10
"75",6,0.00211335464963314,NA,NA,0,10
"76",4,-0.000387255594464436,NA,-0.000862399748855461,0,10
"77",4,0.163927830845032,NA,0.183943967363543,0,10
"78",3,NA,-0.0983841266398404,NA,0,10
"79",6,0.148495653796905,NA,0.171125016707165,0,10
"80",9,0.184805218406069,NA,0.185682787866215,0,10
"81",8,-0.160631736847004,NA,-0.162140571666358,0,10
"82",8,-0.000503502735850041,NA,NA,0,10
"83",4,NA,-0.0189850502144665,NA,0,10
"84",9,NA,-0.0142988147594618,NA,0,10
"85",10,NA,-0.0233696185266408,NA,0,10
"86",7,NA,-0.00788687053203663,NA,0,10
"87",6,NA,NA,0.00727209041937693,0,10
"88",4,NA,NA,0.0141893507336068,0,10
"89",4,NA,0.0040944991120313,NA,0,10
"90",1,NA,0.0337300216201937,NA,0,10
"91",7,0.0474315912526598,NA,0.0904602439556395,0,10
"92",1,0.0171698364011669,NA,0.0159391153704003,0,10
"93",2,0.0525766148383624,NA,0.0541586161916648,0,10
"94",1,NA,0.0342118565749033,NA,0,10
"95",5,NA,0.00512309420911194,NA,0,10
"96",2,NA,0.04421284680764,NA,0,10
"97",6,NA,NA,0.0113588417887063,0,10
"98",7,NA,0.0117793228528067,NA,0,10
"99",9,NA,0.00724073394142111,NA,0,10
"100",9,-0.0420677861860058,NA,-0.0353573261467748,0,10
"101",2,NA,-0.14103431418935,NA,0,10
"102",5,NA,-0.00262145002702774,NA,0,10
"103",6,NA,-0.0291779776819188,NA,0,10
"104",10,NA,-0.0415024932434229,NA,0,10
"105",4,0.140648090618131,NA,0.151363787523609,0,10
"106",1,NA,-0.00815063811737526,NA,0,10
"107",7,NA,NA,0.00519105378456441,0,10
"108",4,0.130368599152299,NA,0.151344813088799,0,10
"109",1,0.186319912788035,NA,0.186735189005969,0,10
"110",1,0.0759550968985328,NA,0.100315457846981,0,10
"111",1,0.0160894775334017,NA,0.025996835286032,0,10
"112",1,0.142947561626289,NA,0.152461058465442,0,10
"113",1,0.0735496376866716,NA,0.0983740469607863,0,10
"114",1,0.0301402635060819,NA,0.0374465093186693,0,10
"115",2,0.183633629761112,NA,0.183627864787975,0,10
"116",8,NA,0.0250078081219132,NA,0,10
"117",1,0.134151416880223,NA,0.145751394003609,0,10
"118",10,0.0747646769802379,NA,0.0323058487903154,0,10
"119",2,0.0466127048739147,NA,0.0122389387477692,0,10
"120",3,-0.0628329853524906,NA,-0.0561046812247221,0,10
"121",2,0.0383791037535995,NA,0.0463224754294396,0,10
"122",8,-0.0988106546509343,NA,-0.0815813694402411,0,10
"123",10,NA,0.00604568055955201,NA,0,10
"124",8,NA,-0.0127175867438195,NA,0,10
"125",10,NA,-0.0143654467139831,NA,0,10
