"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"1","sp2","sp34",5,0.0176620479846191,0.0181727823544247,NA,1,10
"2","sp2","sp34",6,0.013811310265603,NA,NA,0,10
"3","sp2","sp43",6,0.00033826149614019,NA,NA,0,10
"4","sp3","sp22",2,-0.0201205637363923,-0.0529705163988226,-0.00514514039413916,3,10
"5","sp3","sp22",3,-0.0390140032934074,-0.010950237815515,-0.0735224199075687,3,10
"6","sp3","sp22",5,NA,-0.0202882339238232,NA,0,10
"7","sp3","sp22",6,-0.0446346105134814,-0.0337069849574777,NA,1,10
"8","sp3","sp22",7,-0.0408765905662276,-0.122995932628308,-0.0642409386416897,3,10
"9","sp3","sp22",8,-0.0102110306613622,-0.120009262804745,-0.0799289788665208,3,10
"10","sp3","sp22",9,NA,-0.0601227317975435,-0.0505439977235151,2,10
"11","sp3","sp30",8,NA,NA,-0.00102980658704595,0,10
"12","sp4","sp17",2,NA,0.0160000614286432,0.011482897065627,2,10
"13","sp4","sp17",5,NA,0.00116691868065177,NA,0,10
"14","sp4","sp27",1,NA,NA,-0.000266807184662428,0,10
"15","sp4","sp49",1,0.121539011860084,0.0467394472912692,0.0639580526676572,3,10
"16","sp5","sp31",8,NA,-0.0269476473826875,-0.0255295250218464,2,10
"17","sp5","sp36",1,-0.0379928289095135,NA,NA,0,10
"18","sp5","sp45",5,NA,-0.015876468767677,NA,0,10
"19","sp5","sp50",1,0.0415450792477153,NA,NA,0,10
"20","sp6","sp30",5,0.000717856053801147,NA,0.000374862897092099,0,10
"21","sp6","sp30",10,NA,NA,0.00050442472440948,0,10
"22","sp7","sp21",5,NA,NA,0.0245219960812175,0,10
"23","sp9","sp29",1,NA,NA,0.0311365146243768,0,10
"24","sp9","sp30",4,NA,-0.000347442667922415,NA,0,10
"25","sp9","sp30",9,NA,-0.01792839244476,NA,0,10
"26","sp9","sp42",2,-0.0372261077600099,-0.00354381538079052,-0.014194659119479,3,10
"27","sp10","sp12",2,0.0169889756707344,NA,NA,0,10
"28","sp10","sp17",1,NA,NA,0.000736830521256061,0,10
"29","sp10","sp30",6,-0.0583697641828312,-0.0782199973048558,NA,1,10
"30","sp10","sp45",1,NA,NA,-0.0159925703310847,0,10
"31","sp11","sp26",5,NA,NA,-0.00664115945437208,0,10
"32","sp11","sp26",7,NA,-0.0141918461168028,-0.00525446526691409,2,10
"33","sp11","sp26",9,NA,NA,-0.00439529860706078,0,10
"34","sp12","sp16",2,NA,-0.00293184465915863,NA,0,10
"35","sp12","sp16",3,NA,NA,-0.0476911374603127,0,10
"36","sp12","sp26",6,0.0365569954299574,NA,NA,0,10
"37","sp12","sp35",10,0.0253328731918006,0.0497584677104376,NA,1,10
"38","sp12","sp40",3,NA,NA,0.000543192995251172,0,10
"39","sp12","sp48",5,-0.0585894385527588,NA,NA,0,10
"40","sp12","sp48",7,NA,-0.0427252961794725,-0.0200073163559491,2,10
"41","sp12","sp50",3,0.0216458253594057,NA,NA,0,10
"42","sp13","sp21",2,-0.0522104672150317,-0.0288158374991701,-0.00598966059654638,3,10
"43","sp13","sp21",5,NA,-0.0581350203438718,NA,0,10
"44","sp13","sp21",7,-0.0502069951911681,-0.0245787595259838,NA,1,10
"45","sp13","sp29",2,0.00352377215649403,0.0460100522298834,NA,1,10
"46","sp13","sp29",3,0.0438703432811903,0.0226006614314389,NA,1,10
"47","sp13","sp29",7,0.00584269111752572,NA,NA,0,10
"48","sp13","sp46",10,0.0206797834767974,NA,0.0145066233899439,0,10
"49","sp14","sp26",3,NA,NA,-0.000810007732259366,0,10
"50","sp14","sp26",5,NA,NA,-0.01621315461289,0,10
"51","sp14","sp28",1,NA,0.0190462366872624,NA,0,10
"52","sp14","sp28",2,NA,NA,-0.00394960136463762,0,10
"53","sp15","sp33",2,-0.00733962190836057,NA,NA,0,10
"54","sp15","sp45",3,-0.0460724830760426,-0.0983841266398404,NA,1,10
"55","sp16","sp35",6,NA,NA,-0.0280620408503663,0,10
"56","sp16","sp40",3,-0.000499217545172348,NA,-0.020645319847133,0,10
"57","sp16","sp40",7,-0.00308754735137271,NA,-0.0215837244635566,0,10
"58","sp17","sp19",3,-0.0161457649568963,NA,-0.00658747346913191,0,10
"59","sp17","sp19",4,-0.0381263923194203,-0.0189850502144665,-0.0478164300533734,3,10
"60","sp17","sp19",5,NA,NA,-0.0390297350459372,0,10
"61","sp17","sp19",7,NA,NA,-0.0339285053137093,0,10
"62","sp17","sp19",9,-0.0271772951903346,-0.0142988147594618,-0.0402404859259966,3,10
"63","sp17","sp20",3,-0.000352674557610682,NA,NA,0,10
"64","sp17","sp20",4,-0.00123705356347123,NA,NA,0,10
"65","sp17","sp20",10,-0.00391411630577154,-0.0233696185266408,NA,1,10
"66","sp17","sp23",4,NA,NA,-0.00856311867078786,0,10
"67","sp17","sp23",7,NA,-0.00788687053203663,-0.00715201932059012,2,10
"68","sp17","sp28",3,NA,NA,-0.000275096815480258,0,10
"69","sp17","sp28",4,NA,NA,-0.00260128496810451,0,10
"70","sp17","sp28",7,NA,NA,-0.000480370377459843,0,10
"71","sp17","sp45",1,NA,NA,-0.0833181527741995,0,10
"72","sp19","sp20",3,0.0392412102511619,NA,NA,0,10
"73","sp19","sp20",4,0.0591350692548778,0.0040944991120313,NA,1,10
"74","sp19","sp23",3,NA,NA,0.00329123348697485,0,10
"75","sp19","sp23",4,NA,NA,0.00022626272500436,0,10
"76","sp19","sp23",7,0.0324419908481026,NA,0.0665679604895364,0,10
"77","sp19","sp28",3,NA,NA,0.0756958062924296,0,10
"78","sp19","sp28",7,NA,NA,0.00447108360222548,0,10
"79","sp19","sp29",1,NA,0.0337300216201937,NA,0,10
"80","sp19","sp39",1,NA,0.0342118565749033,0.058609155143993,2,10
"81","sp20","sp23",5,0.0300355372365305,0.00512309420911194,NA,1,10
"82","sp20","sp27",2,0.0113780171142414,0.04421284680764,NA,1,10
"83","sp20","sp27",7,0.0593251411019271,0.0117793228528067,NA,1,10
"84","sp20","sp27",9,NA,0.00724073394142111,NA,0,10
"85","sp20","sp47",5,0.000518700694398198,NA,NA,0,10
"86","sp21","sp24",8,NA,NA,0.0363404856513421,0,10
"87","sp21","sp29",2,-0.12341071926856,-0.14103431418935,NA,1,10
"88","sp21","sp29",5,-0.0306960413032766,-0.00262145002702774,NA,1,10
"89","sp21","sp29",6,NA,-0.0291779776819188,NA,0,10
"90","sp21","sp29",9,-0.0345063730502124,NA,NA,0,10
"91","sp21","sp29",10,NA,-0.0415024932434229,NA,0,10
"92","sp21","sp40",1,NA,-0.00815063811737526,NA,0,10
"93","sp22","sp23",1,NA,NA,0.120409381502795,0,10
"94","sp22","sp24",1,NA,NA,0.00912153521926595,0,10
"95","sp22","sp25",1,NA,NA,0.00148983872916435,0,10
"96","sp22","sp28",4,NA,NA,0.00263050599529762,0,10
"97","sp22","sp30",1,NA,NA,0.0050801054593907,0,10
"98","sp22","sp30",4,NA,NA,0.0548223994043258,0,10
"99","sp22","sp30",8,NA,NA,0.0235021376982265,0,10
"100","sp23","sp24",1,NA,NA,0.000607348509379416,0,10
"101","sp23","sp25",1,NA,NA,0.0223753186666921,0,10
"102","sp23","sp27",2,NA,NA,0.0145134074780936,0,10
"103","sp23","sp27",3,NA,NA,0.037373196691362,0,10
"104","sp23","sp27",6,NA,NA,0.0792984868980992,0,10
"105","sp23","sp27",7,NA,NA,0.00167655393433475,0,10
"106","sp23","sp27",8,NA,NA,0.0646720689827013,0,10
"107","sp23","sp27",9,NA,NA,0.0188865467847978,0,10
"108","sp23","sp28",3,NA,NA,0.0788119384018142,0,10
"109","sp23","sp28",4,NA,NA,0.0450704642855998,0,10
"110","sp23","sp28",5,NA,NA,0.00254086757980565,0,10
"111","sp23","sp28",7,0.00890694230528655,NA,0.122325135681217,0,10
"112","sp23","sp28",8,NA,NA,0.00638826404081894,0,10
"113","sp23","sp28",9,NA,NA,0.037350391507042,0,10
"114","sp23","sp30",1,NA,NA,0.0762961629934117,0,10
"115","sp23","sp30",4,NA,NA,0.0021625855088853,0,10
"116","sp23","sp37",8,NA,NA,-0.00176326622712468,0,10
"117","sp23","sp47",5,0.0313437851792289,NA,NA,0,10
"118","sp23","sp47",8,NA,0.0250078081219132,NA,0,10
"119","sp25","sp29",4,0.0503435396555497,NA,0.120599115167069,0,10
"120","sp25","sp29",6,NA,NA,0.00258340799815204,0,10
"121","sp25","sp29",8,NA,NA,0.00150690902166173,0,10
"122","sp25","sp30",1,NA,NA,0.0168002607263219,0,10
"123","sp25","sp42",10,0.0387474395395319,NA,NA,0,10
"124","sp26","sp28",1,NA,NA,0.0149027432313815,0,10
"125","sp26","sp50",10,NA,0.00604568055955201,NA,0,10
"126","sp27","sp28",1,0.0181392938867841,NA,NA,0,10
"127","sp27","sp28",3,NA,NA,0.00162497663332519,0,10
"128","sp27","sp28",7,NA,NA,0.0249614603501982,0,10
"129","sp27","sp28",8,NA,NA,0.000226487192070132,0,10
"130","sp27","sp28",9,NA,NA,0.000384074391927757,0,10
"131","sp27","sp35",1,0.0501033922177069,NA,NA,0,10
"132","sp27","sp37",8,NA,-0.0127175867438195,-0.0497344248483732,2,10
"133","sp27","sp37",10,-0.0270405253406477,-0.0143654467139831,-0.0595341803212199,3,10
"134","sp27","sp47",5,NA,0.0368546788577441,NA,0,10
"135","sp27","sp47",10,NA,0.000622704439426972,0.000720709420552486,2,10
"136","sp27","sp49",1,NA,NA,-0.00754384198339943,0,10
"137","sp28","sp30",4,NA,NA,0.0868315102770785,0,10
"138","sp28","sp35",1,0.00050047190003811,NA,NA,0,10
"139","sp29","sp39",1,0.0336956583568261,0.100060990748591,NA,1,10
"140","sp29","sp40",7,0.0511635647086912,NA,NA,0,10
"141","sp31","sp37",4,NA,0.000413784102086988,0.000537522428335791,2,10
"142","sp31","sp37",10,NA,0.000980912473791692,NA,0,10
"143","sp31","sp47",4,NA,-0.0387898458391492,-0.051445466396462,2,10
"144","sp31","sp47",6,-0.0105287838613686,-0.0639376297825752,-0.00650600494586606,3,10
"145","sp31","sp47",10,-0.00608948981863222,-0.022629107777426,NA,1,10
"146","sp33","sp36",2,NA,-0.0175047651659713,NA,0,10
"147","sp33","sp36",3,-0.0572613367983394,NA,NA,0,10
"148","sp33","sp45",10,NA,NA,0.00733492713071415,0,10
"149","sp34","sp43",6,0.0443767933135941,0.0579359212707826,0.041224203423321,3,10
"150","sp34","sp43",9,0.0167694987466767,0.0332982687261689,0.0150987890661629,3,10
"151","sp34","sp43",10,NA,0.00601863411860615,NA,0,10
"152","sp35","sp44",7,-0.0345126082570109,-0.058910073268735,-0.074089068885529,3,10
"153","sp36","sp50",1,-0.000869187384304805,NA,NA,0,10
"154","sp37","sp47",2,-0.022978238652009,-0.077324008149896,-0.0392538303716673,3,10
"155","sp37","sp47",4,-0.00941175441151076,-0.0194023158097257,-0.0189079993839512,3,10
"156","sp37","sp47",8,NA,-0.00438389565210429,NA,0,10
"157","sp37","sp47",9,-0.101750357133065,-0.166637079389179,-0.124623610206377,3,10
"158","sp37","sp47",10,NA,-0.0783781463978969,-0.0221307944097914,2,10
"159","sp42","sp45",7,0.0455451439940249,0.00639845206075773,0.0370215629245368,3,10
"160","sp43","sp48",8,0.0589762249438438,0.0784302410241841,0.0649199224714068,3,10
"161","sp43","sp50",8,NA,-0.000666835887765187,NA,0,10
"162","sp43","sp50",10,NA,NA,-0.0267291145117041,0,10
"163","sp45","sp49",4,NA,NA,0.00127902718203532,0,10
"164","sp45","sp49",10,0.0123310612472781,NA,NA,0,10
"165","sp48","sp50",3,-0.00893167338836592,NA,NA,0,10
"166","sp48","sp50",8,NA,-0.0153525355590846,NA,0,10
"167","sp48","sp50",9,-0.0658676390674886,-0.0698288392841534,NA,1,10
"168","sp1","sp13",1,-0.222225985541689,-0.223809538693716,-0.152107164590234,3,20
"169","sp2","sp14",3,NA,-0.0267490451772833,NA,0,20
"170","sp2","sp18",7,NA,0.000428889215010203,NA,0,20
"171","sp2","sp20",7,NA,-0.0585902747873626,NA,0,20
"172","sp2","sp38",2,0.0171222359467817,NA,NA,0,20
"173","sp2","sp38",10,0.064778605848727,0.044571390258675,0.0379745859916281,3,20
"174","sp2","sp41",8,-0.00689710305784852,-0.015573259030625,NA,1,20
"175","sp3","sp24",2,0.0111303947401417,NA,NA,0,20
"176","sp3","sp24",3,0.0338648981678616,NA,NA,0,20
"177","sp3","sp24",10,0.0587062469837106,0.0148236485004882,NA,1,20
"178","sp3","sp33",10,0.00203347087033177,NA,NA,0,20
"179","sp3","sp42",2,-0.014318370937243,-0.0591129061161636,-0.023282361846744,3,20
"180","sp3","sp46",4,0.0240926416087411,0.0114734185714035,0.0151589455644947,3,20
"181","sp3","sp46",5,NA,0.00411055365636193,0.00407379314788503,2,20
"182","sp4","sp9",4,NA,NA,0.0205692336638328,0,20
"183","sp4","sp21",4,NA,NA,-0.0850606955861633,0,20
"184","sp4","sp21",8,NA,NA,-0.00527319903014309,0,20
"185","sp4","sp21",9,NA,NA,-0.000797516828024095,0,20
"186","sp4","sp22",4,NA,NA,-0.0314602859319147,0,20
"187","sp4","sp22",8,NA,NA,-0.00355483243963432,0,20
"188","sp4","sp22",9,NA,NA,-0.000692863691687069,0,20
"189","sp4","sp24",4,NA,NA,-0.0180145739391478,0,20
"190","sp4","sp24",8,-0.00106385656921589,NA,-0.00572822207390394,0,20
"191","sp4","sp24",9,NA,NA,-0.000640467253594313,0,20
"192","sp4","sp25",4,NA,NA,-0.00396089423486869,0,20
"193","sp4","sp25",9,NA,NA,-0.00125483224730965,0,20
"194","sp4","sp28",4,-0.000255541404090691,-0.00945005603415692,-0.110355477799262,3,20
"195","sp4","sp28",8,NA,NA,-0.00130553545844055,0,20
"196","sp4","sp28",9,NA,NA,-0.0031106299449082,0,20
"197","sp4","sp29",4,NA,NA,-0.000416633314609897,0,20
"198","sp4","sp30",4,-0.0190921957813894,-0.0391897740827176,-0.154112713196857,3,20
"199","sp4","sp30",8,-0.0660282773247658,-0.0550384062243917,-0.0543484793853568,3,20
"200","sp4","sp30",9,NA,NA,-0.0469095029220396,0,20
"201","sp4","sp49",1,0.0656858056808574,0.0577585529465031,0.030684635896404,3,20
"202","sp5","sp6",7,-0.00936532809696022,-0.0492300797060559,-0.0266671159899946,3,20
"203","sp5","sp21",1,NA,NA,-0.00027700950561255,0,20
"204","sp5","sp36",1,-0.095542119101587,-0.135561126858986,-0.0630651093450106,3,20
"205","sp5","sp40",1,0.00624544417215878,NA,0.0144063992902521,0,20
"206","sp6","sp18",8,-0.00325403613372766,-0.000605991349890811,NA,1,20
"207","sp6","sp19",9,0.00255605892521261,NA,NA,0,20
"208","sp8","sp26",3,NA,0.00809880953567832,NA,0,20
"209","sp8","sp37",2,0.00473844172022864,0.00361147832364529,NA,1,20
"210","sp8","sp37",10,0.026120039450366,NA,NA,0,20
"211","sp8","sp47",2,-0.161146952854524,-0.138632940066523,NA,1,20
"212","sp8","sp47",3,-0.0310234107351357,NA,NA,0,20
"213","sp8","sp47",7,-0.136459893680517,-0.0796440968704225,NA,1,20
"214","sp8","sp47",10,-0.0496800735206265,NA,NA,0,20
"215","sp9","sp21",4,NA,NA,-0.0473342223544748,0,20
"216","sp9","sp21",5,NA,NA,-0.0110910991516285,0,20
"217","sp9","sp21",8,NA,NA,-0.000281497861979357,0,20
"218","sp9","sp21",10,NA,NA,-0.0106221496712945,0,20
"219","sp9","sp22",4,NA,NA,-0.118456682367942,0,20
"220","sp9","sp22",5,NA,NA,-0.0581519008957727,0,20
"221","sp9","sp22",8,NA,NA,-0.0443564312794472,0,20
"222","sp9","sp22",10,NA,NA,-0.151293289506596,0,20
"223","sp9","sp24",4,NA,NA,-0.0169749960482089,0,20
"224","sp9","sp24",8,NA,NA,-0.00030578824421885,0,20
"225","sp9","sp24",10,NA,NA,-0.00113561005239107,0,20
"226","sp9","sp25",4,NA,NA,-0.00419649692881131,0,20
"227","sp9","sp25",10,NA,NA,-0.024652469776207,0,20
"228","sp9","sp28",4,NA,NA,-0.0886059637888477,0,20
"229","sp9","sp28",5,NA,NA,-0.011519054786309,0,20
"230","sp9","sp28",8,NA,NA,-0.00150642362338749,0,20
"231","sp9","sp28",9,NA,NA,-0.000355256960616653,0,20
"232","sp9","sp28",10,NA,NA,-0.0260501211131013,0,20
"233","sp9","sp29",4,NA,NA,-0.000441415579797442,0,20
"234","sp9","sp29",10,NA,NA,-0.00034486212743112,0,20
"235","sp9","sp30",4,NA,NA,-0.170232805679957,0,20
"236","sp9","sp30",5,NA,NA,-0.112374244657314,0,20
"237","sp9","sp30",8,NA,NA,-0.00290127125192494,0,20
"238","sp9","sp30",9,NA,NA,-0.00535741239789702,0,20
"239","sp9","sp30",10,NA,NA,-0.126656770291735,0,20
"240","sp9","sp42",9,-0.0411795847069152,NA,NA,0,20
"241","sp10","sp11",2,-0.0244902746189745,-0.0122543279304475,NA,1,20
"242","sp10","sp11",5,-0.0593511347432065,NA,-0.0747104366638031,0,20
"243","sp10","sp11",6,-0.0267550105215962,-0.00213350229772979,-0.0116593250499367,3,20
"244","sp10","sp11",9,-0.0390194278991535,-0.0037549471997987,-0.0171794346389688,3,20
"245","sp10","sp12",2,0.186362911953729,0.162934479406656,0.149420558647057,3,20
"246","sp10","sp12",3,0.145549540453207,0.119512662031319,0.116528383389963,3,20
"247","sp10","sp12",4,0.10536002884444,0.0891150081428791,0.106133507907396,3,20
"248","sp10","sp12",5,0.190593157973271,0.143371950052779,0.125389077703895,3,20
"249","sp10","sp12",7,0.108325365930554,0.1491361253577,0.140833775507493,3,20
"250","sp10","sp12",8,NA,NA,0.0182831557699754,0,20
"251","sp10","sp12",9,0.0143745907319242,NA,NA,0,20
"252","sp10","sp12",10,0.0401240958223751,0.0510130443849767,0.060171052066803,3,20
"253","sp10","sp24",3,NA,NA,-0.00360184304383615,0,20
"254","sp10","sp41",10,NA,NA,0.0122697160941083,0,20
"255","sp11","sp12",2,-0.00288459853316812,-0.00127013110250551,NA,1,20
"256","sp11","sp12",5,-0.00709016095201698,NA,-0.00583304772988653,0,20
"257","sp11","sp12",9,-0.000955390249700425,-0.0159795341744094,NA,1,20
