"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"1","sp1","sp24",5,-0.00310558569795932,NA,NA,0,0.1
"2","sp1","sp24",6,-0.0141557340775254,-0.00420911164668525,NA,1,0.1
"3","sp1","sp24",7,NA,-0.0137867657393886,NA,0,0.1
"4","sp1","sp24",9,-0.0370304964139577,NA,NA,0,0.1
"5","sp2","sp3",9,NA,-0.0109370059077154,NA,0,0.1
"6","sp2","sp31",10,NA,-0.0243857999636233,NA,0,0.1
"7","sp2","sp35",10,NA,-0.000382198757030901,NA,0,0.1
"8","sp2","sp43",1,NA,-0.00129952853368726,NA,0,0.1
"9","sp2","sp46",9,NA,-0.00048530760477026,NA,0,0.1
"10","sp3","sp31",7,-0.00225165859574461,-0.000867805863004135,NA,1,0.1
"11","sp3","sp35",7,-0.0516018311425779,-0.045171936251028,NA,1,0.1
"12","sp3","sp38",7,NA,-0.00520619932048266,NA,0,0.1
"13","sp3","sp38",10,NA,-0.000775483803157898,NA,0,0.1
"14","sp3","sp42",2,-0.0447247376175922,-0.0544491167216088,NA,1,0.1
"15","sp3","sp42",10,-0.000398248197608849,-0.000564458650895523,NA,1,0.1
"16","sp3","sp46",2,0.0119439111571717,0.000629952302754311,0.00949918430276636,3,0.1
"17","sp3","sp46",3,0.00538364864426233,0.0143731005288533,0.0404467854327978,3,0.1
"18","sp3","sp46",4,0.170818439900191,0.148147638887816,0.15555987756676,3,0.1
"19","sp3","sp46",5,0.152813249639682,0.12164768391258,0.147971834949965,3,0.1
"20","sp3","sp46",6,0.0277193511944349,0.0653962645196028,0.043004771840391,3,0.1
"21","sp3","sp46",7,0.144003764601974,0.168578928069786,0.145847405526545,3,0.1
"22","sp3","sp46",9,0.0567935870687613,0.0611788190708166,0.0336625148183035,3,0.1
"23","sp3","sp46",10,0.0161159191156723,0.0420672798292013,0.0192884019919531,3,0.1
"24","sp4","sp21",6,NA,-0.00813985215651107,NA,0,0.1
"25","sp4","sp21",7,NA,-0.00612363062012683,NA,0,0.1
"26","sp4","sp26",7,0.00106745132904967,0.00811774024669315,NA,1,0.1
"27","sp4","sp36",1,0.00133715134082446,NA,NA,0,0.1
"28","sp5","sp18",7,-0.000375157631662035,NA,NA,0,0.1
"29","sp5","sp19",2,0.0315301928790656,NA,NA,0,0.1
"30","sp5","sp33",4,-0.00422791350299123,NA,NA,0,0.1
"31","sp5","sp33",7,-0.00710641504983671,NA,NA,0,0.1
"32","sp5","sp36",1,NA,-0.0168119845371963,NA,0,0.1
"33","sp5","sp42",7,NA,-0.00585367956024522,NA,0,0.1
"34","sp5","sp49",2,0.0017612012881774,NA,NA,0,0.1
"35","sp5","sp50",7,-0.06225717194834,-0.0667839344411788,NA,1,0.1
"36","sp5","sp50",9,NA,-0.00741154464526705,NA,0,0.1
"37","sp6","sp18",10,-0.0156157483245884,NA,NA,0,0.1
"38","sp6","sp19",9,NA,0.0569124728322591,NA,0,0.1
"39","sp6","sp33",10,-0.000873706206670664,NA,NA,0,0.1
"40","sp6","sp50",3,0.0398359450149946,0.000907679373401304,0.0231981315509525,3,0.1
"41","sp7","sp45",3,-0.00183334081921083,NA,-0.0198015503279405,0,0.1
"42","sp7","sp45",4,-0.0540450061785046,-0.0159156452771369,-0.0560077892722032,3,0.1
"43","sp7","sp45",5,NA,-0.0058001069918599,NA,0,0.1
"44","sp8","sp15",7,-0.000564885513786403,NA,NA,0,0.1
"45","sp8","sp21",4,NA,NA,-0.0131617130372685,0,0.1
"46","sp8","sp22",4,NA,NA,-0.00146814435155814,0,0.1
"47","sp8","sp23",4,NA,NA,-0.00078019815586021,0,0.1
"48","sp8","sp23",7,NA,-0.00734812583632627,NA,0,0.1
"49","sp8","sp24",4,NA,NA,-0.000240111551067994,0,0.1
"50","sp8","sp26",4,NA,NA,-0.000464872184282868,0,0.1
"51","sp8","sp27",4,NA,NA,-0.000528617666924154,0,0.1
"52","sp8","sp28",4,NA,NA,-0.000562795581205588,0,0.1
"53","sp8","sp30",4,NA,NA,-0.000742612805124784,0,0.1
"54","sp8","sp42",7,NA,0.0292239193814356,0.00852010946919779,2,0.1
"55","sp8","sp43",4,-0.0406676262293835,NA,NA,0,0.1
"56","sp8","sp43",5,-0.00597774153420183,-0.00314124764430967,NA,1,0.1
"57","sp8","sp43",7,-0.0447342678630628,-0.0474882386198999,NA,1,0.1
"58","sp8","sp43",8,-0.057021394185365,-0.0183558000692126,NA,1,0.1
"59","sp8","sp47",2,-0.0122550161604255,-0.00719618563129992,NA,1,0.1
"60","sp8","sp47",7,-0.00950041088399904,NA,NA,0,0.1
"61","sp9","sp22",10,-0.0151693708748137,-0.0173952656869144,NA,1,0.1
"62","sp9","sp37",8,-0.00216115606250322,NA,NA,0,0.1
"63","sp9","sp37",10,-0.0103252671284411,-0.0177785474615792,NA,1,0.1
"64","sp9","sp41",1,-0.0273217449210635,-0.000297110611003681,NA,1,0.1
"65","sp10","sp20",5,-0.0129130484591555,-0.00772070872060693,NA,1,0.1
"66","sp10","sp31",1,-0.027765541868963,-0.0137104449207828,NA,1,0.1
"67","sp10","sp41",3,0.0120613428733742,NA,0.00735142466012062,0,0.1
"68","sp11","sp21",5,NA,NA,-0.000213899981433211,0,0.1
"69","sp11","sp22",5,NA,NA,-0.000433158620612262,0,0.1
"70","sp11","sp23",5,NA,NA,-0.00157742943753091,0,0.1
"71","sp11","sp24",5,NA,NA,-0.00130315960692332,0,0.1
"72","sp11","sp25",5,NA,NA,-0.000462628389401742,0,0.1
"73","sp11","sp25",9,0.00211379205404422,NA,NA,0,0.1
"74","sp11","sp26",5,NA,NA,-0.00054054717407987,0,0.1
"75","sp11","sp27",5,NA,NA,-0.000623502551003327,0,0.1
"76","sp11","sp28",5,NA,NA,-0.000505800749151572,0,0.1
"77","sp11","sp29",5,NA,NA,-0.0147111201233176,0,0.1
"78","sp11","sp30",5,NA,NA,-0.00151399577960889,0,0.1
"79","sp12","sp18",4,-0.0427524126108629,-0.0227423165536948,NA,1,0.1
"80","sp12","sp18",7,-0.00649150878590522,-0.0164056285932704,NA,1,0.1
"81","sp12","sp18",8,NA,-0.0421202892590352,NA,0,0.1
"82","sp12","sp18",10,-0.0141921575941024,NA,NA,0,0.1
"83","sp12","sp19",6,NA,0.0153795947728413,NA,0,0.1
"84","sp12","sp21",1,NA,NA,-0.0382507806928078,0,0.1
"85","sp12","sp22",1,NA,NA,-0.00141249713648477,0,0.1
"86","sp12","sp23",1,NA,NA,-0.00555660225923887,0,0.1
"87","sp12","sp24",1,NA,NA,-0.00604993386169588,0,0.1
"88","sp12","sp25",1,NA,NA,-0.00360669088550548,0,0.1
"89","sp12","sp26",1,NA,NA,-0.000416928947156093,0,0.1
"90","sp12","sp27",1,NA,NA,-0.000737140216445425,0,0.1
"91","sp12","sp28",1,NA,NA,-0.000276173673941101,0,0.1
"92","sp12","sp29",1,NA,NA,-0.000397856145964525,0,0.1
"93","sp12","sp30",1,NA,NA,-0.00652903312646437,0,0.1
"94","sp12","sp33",7,-0.000342695866334101,-0.000992435194999408,NA,1,0.1
"95","sp12","sp33",8,NA,-0.00263453568088597,NA,0,0.1
"96","sp12","sp33",10,-0.000794055841466839,NA,NA,0,0.1
"97","sp12","sp40",1,NA,NA,0.00151950860611447,0,0.1
"98","sp12","sp46",1,NA,NA,0.000237557711591619,0,0.1
"99","sp13","sp15",4,0.0142575060642992,NA,NA,0,0.1
"100","sp13","sp28",5,NA,NA,-0.000301768218587953,0,0.1
"101","sp13","sp29",6,0.00987445135017956,NA,NA,0,0.1
"102","sp13","sp40",5,NA,NA,0.0359145832624236,0,0.1
"103","sp14","sp21",5,NA,NA,-0.0199738335317053,0,0.1
"104","sp14","sp21",6,-0.0122638179309862,-0.0122773379962929,NA,1,0.1
"105","sp14","sp21",9,NA,NA,-0.0221668300811627,0,0.1
"106","sp14","sp21",10,-0.0311127340760788,-0.0243236321636127,-0.0572461701101789,3,0.1
"107","sp14","sp22",5,NA,NA,-0.000735066163134814,0,0.1
"108","sp14","sp22",10,NA,NA,-0.00283857055813956,0,0.1
"109","sp14","sp23",5,NA,NA,-0.000576447672988074,0,0.1
"110","sp14","sp23",9,NA,NA,-0.000629745609386747,0,0.1
"111","sp14","sp23",10,NA,NA,-0.00283348834486916,0,0.1
"112","sp14","sp24",5,NA,NA,-0.000518289581052433,0,0.1
