"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"1",6,NA,-0.000643836398329579,NA,0,0.01
"2",7,-0.0070304158007497,NA,NA,0,0.01
"3",6,0.0231712970263825,0.0370895149514254,0.030482241804276,3,0.01
"4",6,-0.0141900780361498,-0.0256395180185498,-0.0216422247857782,3,0.01
"5",4,0.0646004570640603,0.0675315428222813,0.0570171875785411,3,0.01
"6",7,0.0297759123372437,0.00859464291440409,0.0230714044599942,3,0.01
"7",1,NA,NA,-0.000526901068008123,0,0.01
"8",2,0.0797740941711657,0.0609413877709756,0.0804227459884582,3,0.01
"9",6,0.0284420287689649,0.000942834000622071,0.027669826747166,3,0.01
"10",10,0.0356294936767948,0.0257080684589641,0.0368421180456823,3,0.01
"11",7,-0.0503581405750819,-0.0514766007007585,-0.0563278512763114,3,0.01
"12",2,-0.0360331781740666,-0.0465067783938056,-0.0350270722744426,3,0.01
"13",7,NA,NA,0.0109622042452615,0,0.01
"14",5,NA,-0.0018281640716179,NA,0,0.01
"15",1,NA,NA,-0.00723444973686244,0,0.01
"16",7,0.0837750172572624,0.0824878413437733,0.103200462196491,3,0.01
"17",9,NA,0.0076984326366637,NA,0,0.01
"18",1,0.000360320798203639,NA,0.00659306184759371,0,0.01
"19",2,NA,-0.000238323536903378,NA,0,0.01
"20",2,-0.013964512776978,-0.00869165792218014,-0.00739967358857962,3,0.01
"21",4,-0.0306175859835653,-0.019102767064433,-0.0226316399548783,3,0.01
"22",1,NA,NA,-0.00721244151748579,0,0.01
"23",3,NA,0.0498177546660803,0.00771177700879633,2,0.01
"24",7,-0.00112754642607738,NA,NA,0,0.01
"25",3,-0.0267890525511702,-0.0248094701247613,-0.0283935842799586,3,0.01
"26",6,-0.0434863557467505,-0.0667343804783059,-0.0611924744508117,3,0.01
"27",8,-0.0386274976329052,-0.0228980227139702,-0.0348520594142357,3,0.01
"28",9,NA,-0.00534717566616388,NA,0,0.01
"29",10,-0.073512931567942,-0.0474889773676084,-0.071630073065841,3,0.01
"30",5,0.000226508558265217,NA,NA,0,0.01
"31",6,NA,-0.00157527753859357,NA,0,0.01
"32",8,NA,-0.00798934507872462,NA,0,0.01
"33",5,-0.0202218891429114,-0.00325688129365097,-0.0107324940872989,3,0.01
"34",7,-0.0166942421395311,NA,NA,0,0.01
"35",3,0.102350536954668,0.0800888389116674,0.101194944495409,3,0.01
"36",4,0.068025904031432,0.0488249944674926,0.0665112248823204,3,0.01
"37",6,0.0360229201439503,0.0512765884437352,0.043725126710851,3,0.01
"38",8,0.0305397904781663,0.00807951976912632,0.022121303343603,3,0.01
"39",10,0.0102568812449367,0.00672970748369572,0.0113937536618099,3,0.01
"40",3,-0.0263233368899909,-0.0321792375414714,-0.0286383110096535,3,0.01
"41",2,-0.0263673082660726,-0.049175040952692,-0.0290520459649223,3,0.01
"42",10,-0.00561881739328907,-0.0173402474449444,-0.00530461675290528,3,0.01
"43",1,-0.019557271476149,-0.00760605500676653,-0.0228332709023987,3,0.01
"44",9,NA,NA,-0.00183683277016922,0,0.01
"45",3,NA,-0.00191764734336153,-0.00736360590444956,2,0.01
"46",9,-0.0570492212251051,-0.0707037523705647,-0.0730076193827805,3,0.01
"47",1,-0.00780941375576755,-0.013349343481223,-0.0345339925453787,3,0.01
"48",3,NA,NA,-0.00277333582498246,0,0.01
"49",3,NA,-0.000886754199396387,NA,0,0.01
"50",1,NA,0.00379172228451585,NA,0,0.01
"51",3,NA,0.00286258085612319,0.000561803383443705,2,0.01
"52",4,0.105723331204563,0.117230573679769,0.105395197859311,3,0.01
"53",5,0.00850924534309876,0.0367230607644284,0.00547116071050522,3,0.01
"54",7,NA,NA,0.0116128510499379,0,0.01
"55",10,0.0916395891987148,0.0924115110323694,0.0913311265205605,3,0.01
"56",2,0.0965368746545518,0.0392086660348167,0.102865757768761,3,0.01
"57",3,NA,0.00502642041813794,NA,0,0.01
"58",5,0.029459247033263,0.0372367688907166,0.0292616335227576,3,0.01
"59",6,0.0926032307749068,0.10240696458598,0.102360235007187,3,0.01
"60",9,0.0410211795812396,0.0235579140107184,0.0465824323156262,3,0.01
"61",5,-0.000223208847811893,-0.00102543068519816,NA,1,0.01
"62",7,NA,NA,-0.00156427468117476,0,0.01
"63",10,NA,NA,-0.000325775527260284,0,0.01
"64",5,0.0065994068488594,0.0136652464785773,0.0244875804451713,3,0.01
"65",7,NA,NA,0.000831966546886917,0,0.01
"66",8,-0.000218237744110477,NA,NA,0,0.01
"67",2,-0.0184612051256954,NA,-0.00719096948174614,0,0.01
