"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"1","sp1","sp19",6,NA,-0.000643836398329579,NA,0,0.01
"2","sp1","sp22",7,-0.0070304158007497,NA,NA,0,0.01
"3","sp1","sp34",6,0.0231712970263825,0.0370895149514254,0.030482241804276,3,0.01
"4","sp1","sp40",6,-0.0141900780361498,-0.0256395180185498,-0.0216422247857782,3,0.01
"5","sp2","sp11",4,0.0646004570640603,0.0675315428222813,0.0570171875785411,3,0.01
"6","sp2","sp11",7,0.0297759123372437,0.00859464291440409,0.0230714044599942,3,0.01
"7","sp2","sp43",1,NA,NA,-0.000526901068008123,0,0.01
"8","sp3","sp24",2,0.0797740941711657,0.0609413877709756,0.0804227459884582,3,0.01
"9","sp3","sp24",6,0.0284420287689649,0.000942834000622071,0.027669826747166,3,0.01
"10","sp3","sp24",10,0.0356294936767948,0.0257080684589641,0.0368421180456823,3,0.01
"11","sp3","sp35",7,-0.0503581405750819,-0.0514766007007585,-0.0563278512763114,3,0.01
"12","sp3","sp42",2,-0.0360331781740666,-0.0465067783938056,-0.0350270722744426,3,0.01
"13","sp3","sp46",7,NA,NA,0.0109622042452615,0,0.01
"14","sp3","sp49",5,NA,-0.0018281640716179,NA,0,0.01
"15","sp3","sp50",1,NA,NA,-0.00723444973686244,0,0.01
"16","sp4","sp26",7,0.0837750172572624,0.0824878413437733,0.103200462196491,3,0.01
"17","sp4","sp26",9,NA,0.0076984326366637,NA,0,0.01
"18","sp4","sp36",1,0.000360320798203639,NA,0.00659306184759371,0,0.01
"19","sp5","sp28",2,NA,-0.000238323536903378,NA,0,0.01
"20","sp5","sp30",2,-0.013964512776978,-0.00869165792218014,-0.00739967358857962,3,0.01
"21","sp5","sp30",4,-0.0306175859835653,-0.019102767064433,-0.0226316399548783,3,0.01
"22","sp5","sp36",1,NA,NA,-0.00721244151748579,0,0.01
"23","sp6","sp12",3,NA,0.0498177546660803,0.00771177700879633,2,0.01
"24","sp6","sp15",7,-0.00112754642607738,NA,NA,0,0.01
"25","sp6","sp18",3,-0.0267890525511702,-0.0248094701247613,-0.0283935842799586,3,0.01
"26","sp6","sp18",6,-0.0434863557467505,-0.0667343804783059,-0.0611924744508117,3,0.01
"27","sp6","sp18",8,-0.0386274976329052,-0.0228980227139702,-0.0348520594142357,3,0.01
"28","sp6","sp18",9,NA,-0.00534717566616388,NA,0,0.01
"29","sp6","sp18",10,-0.073512931567942,-0.0474889773676084,-0.071630073065841,3,0.01
"30","sp6","sp31",5,0.000226508558265217,NA,NA,0,0.01
"31","sp6","sp33",6,NA,-0.00157527753859357,NA,0,0.01
"32","sp6","sp36",8,NA,-0.00798934507872462,NA,0,0.01
"33","sp6","sp47",5,-0.0202218891429114,-0.00325688129365097,-0.0107324940872989,3,0.01
"34","sp6","sp47",7,-0.0166942421395311,NA,NA,0,0.01
"35","sp6","sp50",3,0.102350536954668,0.0800888389116674,0.101194944495409,3,0.01
"36","sp6","sp50",4,0.068025904031432,0.0488249944674926,0.0665112248823204,3,0.01
"37","sp6","sp50",6,0.0360229201439503,0.0512765884437352,0.043725126710851,3,0.01
"38","sp6","sp50",8,0.0305397904781663,0.00807951976912632,0.022121303343603,3,0.01
"39","sp6","sp50",10,0.0102568812449367,0.00672970748369572,0.0113937536618099,3,0.01
"40","sp8","sp13",3,-0.0263233368899909,-0.0321792375414714,-0.0286383110096535,3,0.01
"41","sp8","sp47",2,-0.0263673082660726,-0.049175040952692,-0.0290520459649223,3,0.01
"42","sp8","sp47",10,-0.00561881739328907,-0.0173402474449444,-0.00530461675290528,3,0.01
"43","sp9","sp41",1,-0.019557271476149,-0.00760605500676653,-0.0228332709023987,3,0.01
"44","sp9","sp42",9,NA,NA,-0.00183683277016922,0,0.01
"45","sp10","sp11",3,NA,-0.00191764734336153,-0.00736360590444956,2,0.01
"46","sp10","sp11",9,-0.0570492212251051,-0.0707037523705647,-0.0730076193827805,3,0.01
"47","sp10","sp31",1,-0.00780941375576755,-0.013349343481223,-0.0345339925453787,3,0.01
"48","sp11","sp19",3,NA,NA,-0.00277333582498246,0,0.01
"49","sp12","sp18",3,NA,-0.000886754199396387,NA,0,0.01
"50","sp12","sp20",1,NA,0.00379172228451585,NA,0,0.01
"51","sp12","sp50",3,NA,0.00286258085612319,0.000561803383443705,2,0.01
"52","sp13","sp15",4,0.105723331204563,0.117230573679769,0.105395197859311,3,0.01
"53","sp13","sp15",5,0.00850924534309876,0.0367230607644284,0.00547116071050522,3,0.01
"54","sp13","sp15",7,NA,NA,0.0116128510499379,0,0.01
"55","sp13","sp15",10,0.0916395891987148,0.0924115110323694,0.0913311265205605,3,0.01
"56","sp13","sp29",2,0.0965368746545518,0.0392086660348167,0.102865757768761,3,0.01
"57","sp13","sp29",3,NA,0.00502642041813794,NA,0,0.01
"58","sp13","sp29",5,0.029459247033263,0.0372367688907166,0.0292616335227576,3,0.01
"59","sp13","sp29",6,0.0926032307749068,0.10240696458598,0.102360235007187,3,0.01
"60","sp13","sp29",9,0.0410211795812396,0.0235579140107184,0.0465824323156262,3,0.01
"61","sp13","sp31",5,-0.000223208847811893,-0.00102543068519816,NA,1,0.01
"62","sp13","sp31",7,NA,NA,-0.00156427468117476,0,0.01
"63","sp13","sp31",10,NA,NA,-0.000325775527260284,0,0.01
"64","sp13","sp40",5,0.0065994068488594,0.0136652464785773,0.0244875804451713,3,0.01
"65","sp13","sp47",7,NA,NA,0.000831966546886917,0,0.01
"66","sp14","sp17",8,-0.000218237744110477,NA,NA,0,0.01
"67","sp14","sp32",2,-0.0184612051256954,NA,-0.00719096948174614,0,0.01
"68","sp14","sp32",8,-0.0328831469220205,-0.0481084287163092,-0.0382064320183642,3,0.01
"69","sp14","sp47",8,NA,0.000242647117726351,0.000217228853821413,2,0.01
"70","sp15","sp24",3,NA,-0.00460656030343337,NA,0,0.01
"71","sp15","sp29",5,NA,0.000975785450807374,NA,0,0.01
"72","sp15","sp31",2,-0.0134930607686669,NA,-0.0199608243071933,0,0.01
"73","sp15","sp31",3,-0.0764974006085057,-0.0616225929808529,-0.085043388023731,3,0.01
"74","sp15","sp31",4,NA,-0.00207000470393064,-0.0010772482215854,2,0.01
"75","sp15","sp31",5,-0.0368037621343151,-0.0391312715378131,-0.0310479723740414,3,0.01
"76","sp15","sp31",7,-0.177122391230205,-0.178347239985883,-0.186944083828014,3,0.01
"77","sp15","sp31",8,-0.010151365012338,-0.0142251496431837,-0.0244432842231673,3,0.01
"78","sp15","sp31",9,-0.0414728461384281,-0.0392594779603861,-0.0625352759508251,3,0.01
"79","sp15","sp31",10,NA,NA,-0.00497390168044815,0,0.01
"80","sp15","sp35",3,-0.00317854315208084,-0.00272603212813354,-0.00295834388257229,3,0.01
"81","sp15","sp35",5,-0.00157477390029253,-0.00166943190832263,-0.00080458911158885,3,0.01
"82","sp15","sp40",5,NA,0.000358096287425645,NA,0,0.01
"83","sp15","sp45",3,NA,-0.0117395502115155,-0.00311949869280898,2,0.01
"84","sp15","sp47",3,0.0332142234678636,0.0115435679477003,0.0448405148253622,3,0.01
"85","sp15","sp47",5,0.000412244723569852,0.00354551806734708,0.000378100490274017,3,0.01
"86","sp15","sp47",7,0.0942371837810622,0.110283745394128,0.0994270544393955,3,0.01
"87","sp15","sp47",9,0.00340833989101625,0.00391932597454471,0.00616633348245528,3,0.01
"88","sp16","sp48",7,NA,0.00638087148474781,NA,0,0.01
"89","sp17","sp32",4,0.00444078180790008,NA,0.00297466986750955,0,0.01
"90","sp17","sp32",8,0.00928005644246816,0.00361604871314536,0.00514301376601226,3,0.01
"91","sp17","sp32",10,0.0231454087631446,0.0200443189460046,0.0136697534364136,3,0.01
"92","sp18","sp20",7,NA,-0.00973680682087957,-0.0108364006952296,2,0.01
"93","sp18","sp25",2,NA,-0.018475681047039,NA,0,0.01
"94","sp18","sp33",6,NA,0.0328889583901627,NA,0,0.01
"95","sp18","sp50",2,-0.0139776626350164,-0.0198306185565017,-0.0148517219478613,3,0.01
"96","sp18","sp50",3,-0.0253634336118464,-0.0181144669682718,-0.033588743925117,3,0.01
"97","sp18","sp50",6,-0.0011189912325338,-0.002455987114973,-0.00192062405275071,3,0.01
"98","sp18","sp50",8,-0.00440574486368682,-0.012165451225271,-0.00280746215929691,3,0.01
"99","sp18","sp50",10,-0.000540215216348763,-0.000228423455510598,-0.000585281322779622,3,0.01
"100","sp19","sp34",4,NA,-0.028696147295574,-0.00540432302098679,2,0.01
"101","sp19","sp34",6,-0.0111306772661412,-0.0241861667956018,-0.00779063428873233,3,0.01
"102","sp19","sp34",10,-0.0220432447394939,NA,-0.0113068943301869,0,0.01
"103","sp19","sp40",4,NA,0.000798172499281068,NA,0,0.01
"104","sp19","sp40",6,0.000542585762710133,0.00113803912153005,0.000314262178719699,3,0.01
